Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-3.76324E-04,-1.35855E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.65742E-06
2,1,3,-1,54,0,0.0,0.0,-3.76725E-04,-8.97485E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.63563E-06
3,2,4,-1,56,0,0.0,0.0,-3.80712E-04,-4.65326E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.40984E-06
4,3,5,-1,41,0,-3.478065345088652,0.0,-3.97451E-04,6.60265E-19,0.00000E+00,0.00000E+00,0.00000E+00,6.57581E-06
5,4,6,-1,46,0,0.0,0.0,-3.80712E-04,4.65326E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.40984E-06
6,5,7,-1,48,0,0.0,0.0,-3.76725E-04,8.97485E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.63563E-06
7,6,-1,-1,8,0,0.0,0.0,-3.76324E-04,1.35855E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.65742E-06
8,48,-1,7,9,0,0.0,0.0,-3.28788E-04,1.35520E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.74945E-06
9,49,-1,8,10,0,0.0,0.0,-2.79085E-04,1.33222E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.78226E-06
10,43,-1,9,11,0,0.0,0.0,-2.29205E-04,1.27301E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.74459E-06
11,45,-1,10,12,0,0.0,0.0,-1.81721E-04,1.17727E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.41744E-06
12,33,-1,11,13,0,0.0,0.0,-1.38141E-04,1.05300E-04,0.00000E+00,0.00000E+00,0.00000E+00,3.98456E-06
13,69,-1,12,14,0,0.0,0.0,-9.92257E-05,9.01207E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.47493E-06
14,67,-1,13,15,0,0.0,0.0,-6.57841E-05,7.22558E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.91347E-06
15,63,-1,14,16,0,0.0,0.0,-3.86843E-05,5.17939E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.14774E-06
16,65,-1,15,17,0,0.0,0.0,-1.81087E-05,2.87361E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.95088E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-1.81087E-05,-2.87361E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.95088E-06
25,-1,70,26,24,0,0.0,0.0,-3.86843E-05,-5.17939E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.14774E-06
26,-1,75,27,25,0,0.0,0.0,-6.57841E-05,-7.22558E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.91347E-06
27,-1,74,28,26,0,0.0,0.0,-9.92257E-05,-9.01207E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.47493E-06
28,-1,37,29,27,0,0.0,0.0,-1.38141E-04,-1.05300E-04,0.00000E+00,0.00000E+00,0.00000E+00,3.98456E-06
29,-1,52,30,28,0,0.0,0.0,-1.81721E-04,-1.17727E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.41744E-06
30,-1,50,31,29,0,0.0,0.0,-2.29205E-04,-1.27301E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.74459E-06
31,-1,55,32,30,0,0.0,0.0,-2.79085E-04,-1.33222E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.78226E-06
32,-1,54,1,31,0,0.0,0.0,-3.28788E-04,-1.35520E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.74945E-06
33,34,12,45,69,0,0.0,0.0,-1.34693E-04,6.67628E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.94007E-06
34,35,33,44,68,0,0.0,0.0,-1.32600E-04,3.23145E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.79779E-06
35,36,34,38,61,0,0.0,0.0,-1.31918E-04,4.46168E-19,0.00000E+00,0.00000E+00,0.00000E+00,3.75276E-06
36,37,35,53,76,0,0.0,0.0,-1.32600E-04,-3.23145E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.79779E-06
37,28,36,52,74,0,0.0,0.0,-1.34693E-04,-6.67628E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.94007E-06
38,53,44,39,35,0,0.0,0.0,-1.76607E-04,4.97127E-19,0.00000E+00,0.00000E+00,0.00000E+00,4.14035E-06
39,51,42,40,38,0,0.0,0.0,-2.24862E-04,5.64621E-19,0.00000E+00,0.00000E+00,0.00000E+00,4.53479E-06
40,57,47,41,39,0,0.0,0.0,-2.75565E-04,5.71807E-19,0.00000E+00,0.00000E+00,0.00000E+00,4.51118E-06
41,56,46,4,40,0,0.0,0.0,-3.27260E-04,5.96265E-19,0.00000E+00,0.00000E+00,0.00000E+00,5.61475E-06
42,39,43,47,44,0,0.0,0.0,-2.25411E-04,3.99334E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.46591E-06
43,42,10,49,45,0,0.0,0.0,-2.26968E-04,8.15035E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.70107E-06
44,38,45,42,34,0,0.0,0.0,-1.77248E-04,3.64925E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.22262E-06
45,44,11,43,33,0,0.0,0.0,-1.78955E-04,7.50331E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.34777E-06
46,41,48,5,47,0,0.0,0.0,-3.30046E-04,4.65377E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.82437E-06
47,40,49,46,42,0,0.0,0.0,-2.76044E-04,4.28557E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.90617E-06
48,46,8,6,49,0,0.0,0.0,-3.29037E-04,8.92919E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.62202E-06
49,47,9,48,43,0,0.0,0.0,-2.77836E-04,8.66058E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.84588E-06
50,30,51,55,52,0,0.0,0.0,-2.26968E-04,-8.15035E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.70107E-06
51,50,39,57,53,0,0.0,0.0,-2.25411E-04,-3.99334E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.46591E-06
52,29,53,50,37,0,0.0,0.0,-1.78955E-04,-7.50331E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.34777E-06
53,52,38,51,36,0,0.0,0.0,-1.77248E-04,-3.64925E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.22262E-06
54,32,56,2,55,0,0.0,0.0,-3.29037E-04,-8.92919E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.62202E-06
55,31,57,54,50,0,0.0,0.0,-2.77836E-04,-8.66058E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.84588E-06
56,54,41,3,57,0,0.0,0.0,-3.30046E-04,-4.65377E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.82437E-06
57,55,40,56,51,0,0.0,0.0,-2.76044E-04,-4.28557E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.90617E-06
58,73,64,59,20,0,0.0,0.0,-9.20161E-06,8.32779E-20,0.00000E+00,0.00000E+00,0.00000E+00,1.06647E-06
59,71,62,60,58,0,0.0,0.0,-2.88953E-05,1.75682E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.88239E-06
60,77,66,61,59,0,0.0,0.0,-5.69568E-05,2.74335E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.64246E-06
61,76,68,35,60,0,0.0,0.0,-9.17084E-05,3.64357E-19,0.00000E+00,0.00000E+00,0.00000E+00,3.25454E-06
62,59,63,66,64,0,0.0,0.0,-2.98277E-05,1.41245E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.98702E-06
