Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-7.78520E-05,-2.81051E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.63505E-07
2,1,3,-1,54,0,0.0,0.0,-7.79351E-05,-1.85667E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.58997E-07
3,2,4,-1,56,0,0.0,0.0,-7.87599E-05,-9.62644E-06,0.00000E+00,0.00000E+00,0.00000E+00,9.12286E-07
4,3,5,-1,41,0,-0.7195250517738714,0.0,-8.22227E-05,1.36592E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.36037E-06
5,4,6,-1,46,0,0.0,0.0,-7.87599E-05,9.62644E-06,0.00000E+00,0.00000E+00,0.00000E+00,9.12286E-07
6,5,7,-1,48,0,0.0,0.0,-7.79351E-05,1.85667E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.58997E-07
7,6,-1,-1,8,0,0.0,0.0,-7.78520E-05,2.81051E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.63505E-07
8,48,-1,7,9,0,0.0,0.0,-6.80181E-05,2.80356E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.82544E-07
9,49,-1,8,10,0,0.0,0.0,-5.77357E-05,2.75604E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.89331E-07
10,43,-1,9,11,0,0.0,0.0,-4.74168E-05,2.63355E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.81537E-07
11,45,-1,10,12,0,0.0,0.0,-3.75936E-05,2.43549E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.13857E-07
12,33,-1,11,13,0,0.0,0.0,-2.85779E-05,2.17839E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.24306E-07
13,69,-1,12,14,0,0.0,0.0,-2.05273E-05,1.86437E-05,0.00000E+00,0.00000E+00,0.00000E+00,7.18876E-07
14,67,-1,13,15,0,0.0,0.0,-1.36091E-05,1.49479E-05,0.00000E+00,0.00000E+00,0.00000E+00,6.02725E-07
15,63,-1,14,16,0,0.0,0.0,-8.00282E-06,1.07149E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.44314E-07
16,65,-1,15,17,0,0.0,0.0,-3.74624E-06,5.94478E-06,0.00000E+00,0.00000E+00,0.00000E+00,4.03589E-07
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-3.74624E-06,-5.94478E-06,0.00000E+00,0.00000E+00,0.00000E+00,4.03589E-07
25,-1,70,26,24,0,0.0,0.0,-8.00282E-06,-1.07149E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.44314E-07
26,-1,75,27,25,0,0.0,0.0,-1.36091E-05,-1.49479E-05,0.00000E+00,0.00000E+00,0.00000E+00,6.02725E-07
27,-1,74,28,26,0,0.0,0.0,-2.05273E-05,-1.86437E-05,0.00000E+00,0.00000E+00,0.00000E+00,7.18876E-07
28,-1,37,29,27,0,0.0,0.0,-2.85779E-05,-2.17839E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.24306E-07
29,-1,52,30,28,0,0.0,0.0,-3.75936E-05,-2.43549E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.13857E-07
30,-1,50,31,29,0,0.0,0.0,-4.74168E-05,-2.63355E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.81537E-07
31,-1,55,32,30,0,0.0,0.0,-5.77357E-05,-2.75604E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.89331E-07
32,-1,54,1,31,0,0.0,0.0,-6.80181E-05,-2.80356E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.82544E-07
