Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-9.09036E-05,-3.28168E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.12503E-06
2,1,3,-1,54,0,0.0,0.0,-9.10007E-05,-2.16794E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.11977E-06
3,2,4,-1,56,0,0.0,0.0,-9.19638E-05,-1.12403E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.06523E-06
4,3,5,-1,41,0,-0.8401512558201301,0.0,-9.60071E-05,1.59492E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.58843E-06
5,4,6,-1,46,0,0.0,0.0,-9.19638E-05,1.12403E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.06523E-06
6,5,7,-1,48,0,0.0,0.0,-9.10007E-05,2.16794E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.11977E-06
7,6,-1,-1,8,0,0.0,0.0,-9.09036E-05,3.28168E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.12503E-06
8,48,-1,7,9,0,0.0,0.0,-7.94212E-05,3.27357E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.14726E-06
9,49,-1,8,10,0,0.0,0.0,-6.74149E-05,3.21808E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.15519E-06
10,43,-1,9,11,0,0.0,0.0,-5.53661E-05,3.07505E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.14609E-06
11,45,-1,10,12,0,0.0,0.0,-4.38960E-05,2.84379E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.06706E-06
12,33,-1,11,13,0,0.0,0.0,-3.33689E-05,2.54359E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.62499E-07
13,69,-1,12,14,0,0.0,0.0,-2.39687E-05,2.17693E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.39393E-07
14,67,-1,13,15,0,0.0,0.0,-1.58906E-05,1.74539E-05,0.00000E+00,0.00000E+00,0.00000E+00,7.03770E-07
15,63,-1,14,16,0,0.0,0.0,-9.34446E-06,1.25112E-05,0.00000E+00,0.00000E+00,0.00000E+00,5.18802E-07
