Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,3.43254E-04,-8.52196E-19,3.44092E-04,-6.09588E-05,2.70571E-04,-5.57062E-05,2.69593E-04,-7.59860E-19,2.20623E-01,2.77913E-03,2.77913E-03,-5.43184E-02,-5.43184E-02,-1.23241E-01,-1.23241E-01,9.06085E-07,9.08316E-08,9.08316E-08,-2.62629E-07,-2.62629E-07,-1.52584E-06,-1.52584E-06
79,38,44,34,35,2.69593E-04,-7.59860E-19,2.70571E-04,-5.57062E-05,2.02416E-04,-4.93284E-05,2.01374E-04,-6.91542E-19,2.29291E-01,1.23727E-03,1.23727E-03,-6.65953E-02,-6.65953E-02,-1.26564E-01,-1.26564E-01,9.39431E-07,1.01028E-07,1.01028E-07,-3.18888E-07,-3.18888E-07,-1.56698E-06,-1.56698E-06
80,11,45,43,10,2.77399E-04,-1.79712E-04,2.73177E-04,-1.14539E-04,3.46470E-04,-1.24416E-04,3.49884E-04,-1.94327E-04,2.68476E-01,3.33207E-03,3.33207E-03,-2.56164E-01,-2.56164E-01,-4.31852E-02,-4.31852E-02,1.01705E-06,3.81815E-07,3.81815E-07,-1.22459E-06,-1.22459E-06,-5.34674E-07,-5.34674E-07
81,45,44,42,43,2.73177E-04,-1.14539E-04,2.70571E-04,-5.57062E-05,3.44092E-04,-6.09588E-05,3.46470E-04,-1.24416E-04,2.34542E-01,5.12838E-03,5.12838E-03,-1.57323E-01,-1.57323E-01,-9.90389E-02,-9.90389E-02,9.31072E-07,2.49168E-07,2.49168E-07,-7.56484E-07,-7.56484E-07,-1.22620E-06,-1.22620E-06
82,12,33,45,11,2.10873E-04,-1.60741E-04,2.05611E-04,-1.01914E-04,2.73177E-04,-1.14539E-04,2.77399E-04,-1.79712E-04,3.39193E-01,7.17312E-05,7.17312E-05,-3.31731E-01,-3.31731E-01,-4.07548E-02,-4.07548E-02,1.27554E-06,4.74243E-07,4.74243E-07,-1.57977E-06,-1.57977E-06,-5.04583E-07,-5.04583E-07
83,33,34,44,45,2.05611E-04,-1.01914E-04,2.02416E-04,-4.93284E-05,2.70571E-04,-5.57062E-05,2.73177E-04,-1.14539E-04,2.62300E-01,1.15074E-03,1.15074E-03,-1.99180E-01,-1.99180E-01,-9.81464E-02,-9.81464E-02,1.02628E-06,2.90023E-07,2.90023E-07,-9.50121E-07,-9.50121E-07,-1.21515E-06,-1.21515E-06
84,4,5,46,41,6.06714E-04,-1.00790E-18,5.81162E-04,-7.10326E-05,5.03818E-04,-7.10404E-05,4.99566E-04,-9.10206E-19,3.68444E-01,-2.45744E-01,-2.45744E-01,-7.36413E-02,-7.36413E-02,-1.71303E-01,-1.71303E-01,1.41552E-06,-1.06501E-06,-1.06501E-06,3.90236E-10,3.90236E-10,-2.12090E-06,-2.12090E-06
85,41,46,47,40,4.99566E-04,-9.10206E-19,5.03818E-04,-7.10404E-05,4.21384E-04,-6.54198E-05,4.20653E-04,-8.72870E-19,1.89287E-01,3.80364E-02,3.80364E-02,-4.76055E-02,-4.76055E-02,-1.00508E-01,-1.00508E-01,7.81007E-07,2.49134E-07,2.49134E-07,-2.81031E-07,-2.81031E-07,-1.24439E-06,-1.24439E-06
86,40,47,42,39,4.20653E-04,-8.72870E-19,4.21384E-04,-6.54198E-05,3.44092E-04,-6.09588E-05,3.43254E-04,-8.52196E-19,2.03640E-01,2.66398E-03,2.66398E-03,-4.60409E-02,-4.60409E-02,-1.14338E-01,-1.14338E-01,8.37027E-07,7.84583E-08,7.84583E-08,-2.23048E-07,-2.23048E-07,-1.41562E-06,-1.41562E-06
87,8,48,6,7,5.01899E-04,-2.06872E-04,5.02279E-04,-1.36305E-04,5.75076E-04,-1.37002E-04,5.74462E-04,-2.07385E-04,3.50263E-02,-1.56447E-02,-1.56447E-02,-1.73968E-02,-1.73968E-02,-1.78102E-02,-1.78102E-02,1.32645E-07,-4.96461E-08,-4.96461E-08,-6.04921E-08,-6.04921E-08,-2.20507E-07,-2.20507E-07
88,48,46,5,6,5.02279E-04,-1.36305E-04,5.03818E-04,-7.10404E-05,5.81162E-04,-7.10326E-05,5.75076E-04,-1.37002E-04,1.54051E-01,-9.03726E-02,-9.03726E-02,-3.43485E-02,-3.43485E-02,-7.63518E-02,-7.63518E-02,5.97634E-07,-3.81277E-07,-3.81277E-07,-3.44604E-08,-3.44604E-08,-9.45308E-07,-9.45308E-07
89,10,43,49,9,3.49884E-04,-1.94327E-04,3.46470E-04,-1.24416E-04,4.24121E-04,-1.32205E-04,4.26026E-04,-2.03365E-04,1.98409E-01,3.13362E-03,3.13362E-03,-1.75747E-01,-1.75747E-01,-5.13759E-02,-5.13759E-02,7.61838E-07,2.65989E-07,2.65989E-07,-8.41367E-07,-8.41367E-07,-6.36083E-07,-6.36083E-07
90,9,49,48,8,4.26026E-04,-2.03365E-04,4.24121E-04,-1.32205E-04,5.02279E-04,-1.36305E-04,5.01899E-04,-2.06872E-04,1.16481E-01,-8.72291E-03,-8.72291E-03,-8.24909E-02,-8.24909E-02,-4.96871E-02,-4.96871E-02,4.53796E-07,7.63065E-08,7.63065E-08,-3.80353E-07,-3.80353E-07,-6.15174E-07,-6.15174E-07
91,43,42,47,49,3.46470E-04,-1.24416E-04,3.44092E-04,-6.09588E-05,4.21384E-04,-6.54198E-05,4.24121E-04,-1.32205E-04,2.17869E-01,1.66092E-02,1.66092E-02,-1.23639E-01,-1.23639E-01,-9.97512E-02,-9.97512E-02,8.79671E-07,2.55718E-07,2.55718E-07,-6.12483E-07,-6.12483E-07,-1.23502E-06,-1.23502E-06
