Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,-2.08286E-04,5.36684E-19,-2.08795E-04,3.69898E-05,-1.64183E-04,3.38025E-05,-1.63589E-04,4.70088E-19,1.33874E-01,-1.68637E-03,-1.68637E-03,3.29604E-02,3.29604E-02,7.47828E-02,7.47828E-02,5.49813E-07,-5.51166E-08,-5.51166E-08,1.59363E-07,1.59363E-07,9.25882E-07,9.25882E-07
79,38,44,34,35,-1.63589E-04,4.70088E-19,-1.64183E-04,3.38025E-05,-1.22826E-04,2.99325E-05,-1.22194E-04,4.17767E-19,1.39134E-01,-7.50775E-04,-7.50775E-04,4.04100E-02,4.04100E-02,7.67991E-02,7.67991E-02,5.70047E-07,-6.13037E-08,-6.13037E-08,1.93501E-07,1.93501E-07,9.50846E-07,9.50846E-07
80,11,45,43,10,-1.68326E-04,1.09049E-04,-1.65764E-04,6.95022E-05,-2.10238E-04,7.54956E-05,-2.12310E-04,1.17917E-04,1.62911E-01,-2.02190E-03,-2.02190E-03,1.55440E-01,1.55440E-01,2.62048E-02,2.62048E-02,6.17145E-07,-2.31685E-07,-2.31685E-07,7.43080E-07,7.43080E-07,3.24440E-07,3.24440E-07
81,45,44,42,43,-1.65764E-04,6.95022E-05,-1.64183E-04,3.38025E-05,-2.08795E-04,3.69898E-05,-2.10238E-04,7.54956E-05,1.42320E-01,-3.11190E-03,-3.11190E-03,9.54637E-02,9.54637E-02,6.00968E-02,6.00968E-02,5.64974E-07,-1.51195E-07,-1.51195E-07,4.59034E-07,4.59034E-07,7.44056E-07,7.44056E-07
82,12,33,45,11,-1.27958E-04,9.75378E-05,-1.24765E-04,6.18416E-05,-1.65764E-04,6.95022E-05,-1.68326E-04,1.09049E-04,2.05822E-01,-4.35265E-05,-4.35265E-05,2.01294E-01,2.01294E-01,2.47300E-02,2.47300E-02,7.73996E-07,-2.87771E-07,-2.87771E-07,9.58607E-07,9.58607E-07,3.06181E-07,3.06181E-07
83,33,34,44,45,-1.24765E-04,6.18416E-05,-1.22826E-04,2.99325E-05,-1.64183E-04,3.38025E-05,-1.65764E-04,6.95022E-05,1.59164E-01,-6.98269E-04,-6.98269E-04,1.20863E-01,1.20863E-01,5.95552E-02,5.95552E-02,6.22749E-07,-1.75986E-07,-1.75986E-07,5.76533E-07,5.76533E-07,7.37350E-07,7.37350E-07
84,4,5,46,41,-3.68154E-04,6.11595E-19,-3.52649E-04,4.31026E-05,-3.05717E-04,4.31073E-05,-3.03137E-04,5.52313E-19,2.23572E-01,1.49117E-01,1.49117E-01,4.46855E-02,4.46855E-02,1.03947E-01,1.03947E-01,8.58937E-07,6.46247E-07,6.46247E-07,-2.36795E-10,-2.36795E-10,1.28696E-06,1.28696E-06
85,41,46,47,40,-3.03137E-04,5.52313E-19,-3.05717E-04,4.31073E-05,-2.55696E-04,3.96967E-05,-2.55252E-04,5.29658E-19,1.14859E-01,-2.30805E-02,-2.30805E-02,2.88870E-02,2.88870E-02,6.09884E-02,6.09884E-02,4.73915E-07,-1.51174E-07,-1.51174E-07,1.70529E-07,1.70529E-07,7.55095E-07,7.55095E-07
86,40,47,42,39,-2.55252E-04,5.29658E-19,-2.55696E-04,3.96967E-05,-2.08795E-04,3.69898E-05,-2.08286E-04,5.36684E-19,1.23569E-01,-1.61650E-03,-1.61650E-03,2.79376E-02,2.79376E-02,6.93804E-02,6.93804E-02,5.07908E-07,-4.76085E-08,-4.76085E-08,1.35346E-07,1.35346E-07,8.58996E-07,8.58996E-07
87,8,48,6,7,-3.04552E-04,1.25530E-04,-3.04783E-04,8.27099E-05,-3.48956E-04,8.31329E-05,-3.48584E-04,1.25841E-04,2.12540E-02,9.49321E-03,9.49321E-03,1.05563E-02,1.05563E-02,1.08072E-02,1.08072E-02,8.04893E-08,3.01253E-08,3.01253E-08,3.67066E-08,3.67066E-08,1.33804E-07,1.33804E-07
88,48,46,5,6,-3.04783E-04,8.27099E-05,-3.05717E-04,4.31073E-05,-3.52649E-04,4.31026E-05,-3.48956E-04,8.31329E-05,9.34780E-02,5.48381E-02,5.48381E-02,2.08427E-02,2.08427E-02,4.63302E-02,4.63302E-02,3.62644E-07,2.31359E-07,2.31359E-07,2.09106E-08,2.09106E-08,5.73613E-07,5.73613E-07
89,10,43,49,9,-2.12310E-04,1.17917E-04,-2.10238E-04,7.54956E-05,-2.57356E-04,8.02218E-05,-2.58513E-04,1.23402E-04,1.20394E-01,-1.90148E-03,-1.90148E-03,1.06643E-01,1.06643E-01,3.11749E-02,3.11749E-02,4.62283E-07,-1.61402E-07,-1.61402E-07,5.10541E-07,5.10541E-07,3.85975E-07,3.85975E-07
90,9,49,48,8,-2.58513E-04,1.23402E-04,-2.57356E-04,8.02218E-05,-3.04783E-04,8.27099E-05,-3.04552E-04,1.25530E-04,7.06804E-02,5.29306E-03,5.29306E-03,5.00555E-02,5.00555E-02,3.01501E-02,3.01501E-02,2.75363E-07,-4.63028E-08,-4.63028E-08,2.30798E-07,2.30798E-07,3.73287E-07,3.73287E-07
91,43,42,47,49,-2.10238E-04,7.54956E-05,-2.08795E-04,3.69898E-05,-2.55696E-04,3.96967E-05,-2.57356E-04,8.02218E-05,1.32203E-01,-1.00785E-02,-1.00785E-02,7.50239E-02,7.50239E-02,6.05290E-02,6.05290E-02,5.33784E-07,-1.55170E-07,-1.55170E-07,3.71655E-07,3.71655E-07,7.49407E-07,7.49407E-07
92,49,47,46,48,-2.57356E-04,8.02218E-05,-2.55696E-04,3.96967E-05,-3.05717E-04,4.31073E-05,-3.04783E-04,8.27099E-05,1.35387E-01,1.20357E-02,1.20357E-02,6.55471E-02,6.55471E-02,6.99458E-02,6.99458E-02,5.42210E-07,-3.63260E-08,-3.63260E-08,2.94935E-07,2.94935E-07,8.65996E-07,8.65996E-07
93,30,50,52,29,-2.12310E-04,-1.17917E-04,-2.10238E-04,-7.54956E-05,-1.65764E-04,-6.95022E-05,-1.68326E-04,-1.09049E-04,1.62911E-01,2.02190E-03,2.02190E-03,-1.55440E-01,-1.55440E-01,2.62048E-02,2.62048E-02,6.17145E-07,2.31685E-07,2.31685E-07,-7.43080E-07,-7.43080E-07,3.24440E-07,3.24440E-07
94,29,52,37,28,-1.68326E-04,-1.09049E-04,-1.65764E-04,-6.95022E-05,-1.24765E-04,-6.18416E-05,-1.27958E-04,-9.75378E-05,2.05822E-01,4.35265E-05,4.35265E-05,-2.01294E-01,-2.01294E-01,2.47300E-02,2.47300E-02,7.73996E-07,2.87771E-07,2.87771E-07,-9.58607E-07,-9.58607E-07,3.06181E-07,3.06181E-07
95,38,53,51,39,-1.63589E-04,4.70088E-19,-1.64183E-04,-3.38025E-05,-2.08795E-04,-3.69898E-05,-2.08286E-04,5.36684E-19,1.42320E-01,3.11190E-03,3.11190E-03,-9.54637E-02,-9.54637E-02,6.00968E-02,6.00968E-02,5.64974E-07,1.51195E-07,1.51195E-07,-4.59034E-07,-4.59034E-07,7.44056E-07,7.44056E-07
96,53,52,50,51,-1.64183E-04,-3.38025E-05,-1.65764E-04,-6.95022E-05,-2.10238E-04,-7.54956E-05,-2.08795E-04,-3.69898E-05,1.59164E-01,6.98269E-04,6.98269E-04,-1.20863E-01,-1.20863E-01,5.95552E-02,5.95552E-02,6.22749E-07,1.75986E-07,1.75986E-07,-5.76533E-07,-5.76533E-07,7.37350E-07,7.37350E-07
97,35,36,53,38,-1.22194E-04,4.17767E-19,-1.22826E-04,-2.99325E-05,-1.64183E-04,-3.38025E-05,-1.63589E-04,4.70088E-19,1.33874E-01,1.68637E-03,1.68637E-03,-3.29604E-02,-3.29604E-02,7.47828E-02,7.47828E-02,5.49813E-07,5.51166E-08,5.51166E-08,-1.59363E-07,-1.59363E-07,9.25882E-07,9.25882E-07
98,36,37,52,53,-1.22826E-04,-2.99325E-05,-1.24765E-04,-6.18416E-05,-1.65764E-04,-6.95022E-05,-1.64183E-04,-3.38025E-05,1.39134E-01,7.50775E-04,7.50775E-04,-4.04100E-02,-4.04100E-02,7.67991E-02,7.67991E-02,5.70047E-07,6.13037E-08,6.13037E-08,-1.93501E-07,-1.93501E-07,9.50846E-07,9.50846E-07
99,1,2,54,32,-3.48584E-04,-1.25841E-04,-3.48956E-04,-8.31329E-05,-3.04783E-04,-8.27099E-05,-3.04552E-04,-1.25530E-04,2.12540E-02,-9.49321E-03,-9.49321E-03,-1.05563E-02,-1.05563E-02,1.08072E-02,1.08072E-02,8.04893E-08,-3.01253E-08,-3.01253E-08,-3.67066E-08,-3.67066E-08,1.33804E-07,1.33804E-07
