Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-1.02317E-03,-3.69370E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.26628E-05
2,1,3,-1,54,0,0.0,0.0,-1.02426E-03,-2.44012E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.26036E-05
3,2,4,-1,56,0,0.0,0.0,-1.03510E-03,-1.26515E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.19897E-05
4,3,5,-1,41,0,-9.456330330407415,0.0,-1.08061E-03,1.79516E-18,0.00000E+00,0.00000E+00,0.00000E+00,1.78786E-05
5,4,6,-1,46,0,0.0,0.0,-1.03510E-03,1.26515E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.19897E-05
6,5,7,-1,48,0,0.0,0.0,-1.02426E-03,2.44012E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.26036E-05
7,6,-1,-1,8,0,0.0,0.0,-1.02317E-03,3.69370E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.26628E-05
8,48,-1,7,9,0,0.0,0.0,-8.93926E-04,3.68457E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.29130E-05
9,49,-1,8,10,0,0.0,0.0,-7.58789E-04,3.62211E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.30022E-05
10,43,-1,9,11,0,0.0,0.0,-6.23173E-04,3.46113E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.28998E-05
11,45,-1,10,12,0,0.0,0.0,-4.94072E-04,3.20083E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.20103E-05
12,33,-1,11,13,0,0.0,0.0,-3.75584E-04,2.86294E-04,0.00000E+00,0.00000E+00,0.00000E+00,1.08334E-05
13,69,-1,12,14,0,0.0,0.0,-2.69779E-04,2.45024E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.44780E-06
