Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,3.04460E-04,1.09912E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.76803E-06
2,1,3,-1,54,0,0.0,0.0,3.04785E-04,7.26099E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.75040E-06
3,2,4,-1,56,0,0.0,0.0,3.08011E-04,3.76466E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.56773E-06
4,3,5,-1,41,0,2.8138866985011486,0.0,3.21553E-04,-5.34179E-19,0.00000E+00,0.00000E+00,0.00000E+00,-5.32008E-06
5,4,6,-1,46,0,0.0,0.0,3.08011E-04,-3.76466E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.56773E-06
6,5,7,-1,48,0,0.0,0.0,3.04785E-04,-7.26099E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.75040E-06
7,6,-1,-1,8,0,0.0,0.0,3.04460E-04,-1.09912E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.76803E-06
8,48,-1,7,9,0,0.0,0.0,2.66002E-04,-1.09640E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.84249E-06
9,49,-1,8,10,0,0.0,0.0,2.25790E-04,-1.07782E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.86903E-06
10,43,-1,9,11,0,0.0,0.0,1.85435E-04,-1.02992E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.83855E-06
11,45,-1,10,12,0,0.0,0.0,1.47019E-04,-9.52459E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.57387E-06
12,33,-1,11,13,0,0.0,0.0,1.11761E-04,-8.51915E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.22366E-06
13,69,-1,12,14,0,0.0,0.0,8.02773E-05,-7.29111E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.81135E-06
14,67,-1,13,15,0,0.0,0.0,5.32218E-05,-5.84577E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.35711E-06
15,63,-1,14,16,0,0.0,0.0,3.12971E-05,-4.19032E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.73760E-06
16,65,-1,15,17,0,0.0,0.0,1.46506E-05,-2.32486E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.57834E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,1.46506E-05,2.32486E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.57834E-06
25,-1,70,26,24,0,0.0,0.0,3.12971E-05,4.19032E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.73760E-06
26,-1,75,27,25,0,0.0,0.0,5.32218E-05,5.84577E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.35711E-06
27,-1,74,28,26,0,0.0,0.0,8.02773E-05,7.29111E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.81135E-06
28,-1,37,29,27,0,0.0,0.0,1.11761E-04,8.51915E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.22366E-06
29,-1,52,30,28,0,0.0,0.0,1.47019E-04,9.52459E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.57387E-06
30,-1,50,31,29,0,0.0,0.0,1.85435E-04,1.02992E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.83855E-06
31,-1,55,32,30,0,0.0,0.0,2.25790E-04,1.07782E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.86903E-06
32,-1,54,1,31,0,0.0,0.0,2.66002E-04,1.09640E-04,0.00000E+00,0.00000E+00,0.00000E+00,-3.84249E-06
33,34,12,45,69,0,0.0,0.0,1.08972E-04,-5.40137E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.18767E-06
34,35,33,44,68,0,0.0,0.0,1.07279E-04,-2.61436E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.07256E-06
35,36,34,38,61,0,0.0,0.0,1.06726E-04,-3.60058E-19,0.00000E+00,0.00000E+00,0.00000E+00,-3.03612E-06
