Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,4.79334E-04,-1.18350E-18,4.80504E-04,-8.51253E-05,3.77837E-04,-7.77904E-05,3.76470E-04,-1.06307E-18,3.08086E-01,3.88088E-03,3.88088E-03,-7.58523E-02,-7.58523E-02,-1.72099E-01,-1.72099E-01,1.26529E-06,1.26841E-07,1.26841E-07,-3.66746E-07,-3.66746E-07,-2.13075E-06,-2.13075E-06
79,38,44,34,35,3.76470E-04,-1.06307E-18,3.77837E-04,-7.77904E-05,2.82662E-04,-6.88842E-05,2.81207E-04,-9.35520E-19,3.20191E-01,1.72777E-03,1.72777E-03,-9.29964E-02,-9.29964E-02,-1.76739E-01,-1.76739E-01,1.31186E-06,1.41079E-07,1.41079E-07,-4.45308E-07,-4.45308E-07,-2.18820E-06,-2.18820E-06
80,11,45,43,10,3.87371E-04,-2.50957E-04,3.81475E-04,-1.59947E-04,4.83824E-04,-1.73739E-04,4.88592E-04,-2.71366E-04,3.74911E-01,4.65304E-03,4.65304E-03,-3.57717E-01,-3.57717E-01,-6.03055E-02,-6.03055E-02,1.42025E-06,5.33182E-07,5.33182E-07,-1.71006E-06,-1.71006E-06,-7.46640E-07,-7.46640E-07
81,45,44,42,43,3.81475E-04,-1.59947E-04,3.77837E-04,-7.77904E-05,4.80504E-04,-8.51253E-05,4.83824E-04,-1.73739E-04,3.27523E-01,7.16147E-03,7.16147E-03,-2.19692E-01,-2.19692E-01,-1.38302E-01,-1.38302E-01,1.30019E-06,3.47948E-07,3.47948E-07,-1.05638E-06,-1.05638E-06,-1.71231E-06,-1.71231E-06
82,12,33,45,11,2.94472E-04,-2.24466E-04,2.87123E-04,-1.42317E-04,3.81475E-04,-1.59947E-04,3.87371E-04,-2.50957E-04,4.73663E-01,1.00168E-04,1.00168E-04,-4.63242E-01,-4.63242E-01,-5.69117E-02,-5.69117E-02,1.78121E-06,6.62252E-07,6.62252E-07,-2.20606E-06,-2.20606E-06,-7.04621E-07,-7.04621E-07
83,33,34,44,45,2.87123E-04,-1.42317E-04,2.82662E-04,-6.88842E-05,3.77837E-04,-7.77904E-05,3.81475E-04,-1.59947E-04,3.66287E-01,1.60694E-03,1.60694E-03,-2.78143E-01,-2.78143E-01,-1.37056E-01,-1.37056E-01,1.43314E-06,4.04999E-07,4.04999E-07,-1.32679E-06,-1.32679E-06,-1.69688E-06,-1.69688E-06
84,4,5,46,41,8.47240E-04,-1.40747E-18,8.11558E-04,-9.91927E-05,7.03552E-04,-9.92036E-05,6.97615E-04,-1.27105E-18,5.14510E-01,-3.43167E-01,-3.43167E-01,-1.02836E-01,-1.02836E-01,-2.39215E-01,-2.39215E-01,1.97669E-06,-1.48722E-06,-1.48722E-06,5.44941E-10,5.44941E-10,-2.96171E-06,-2.96171E-06
85,41,46,47,40,6.97615E-04,-1.27105E-18,7.03552E-04,-9.92036E-05,5.88437E-04,-9.13548E-05,5.87417E-04,-1.21891E-18,2.64328E-01,5.31156E-02,5.31156E-02,-6.64782E-02,-6.64782E-02,-1.40354E-01,-1.40354E-01,1.09063E-06,3.47900E-07,3.47900E-07,-3.92442E-07,-3.92442E-07,-1.73771E-06,-1.73771E-06
86,40,47,42,39,5.87417E-04,-1.21891E-18,5.88437E-04,-9.13548E-05,4.80504E-04,-8.51253E-05,4.79334E-04,-1.18350E-18,2.84371E-01,3.72009E-03,3.72009E-03,-6.42934E-02,-6.42934E-02,-1.59666E-01,-1.59666E-01,1.16886E-06,1.09562E-07,1.09562E-07,-3.11473E-07,-3.11473E-07,-1.97682E-06,-1.97682E-06
87,8,48,6,7,7.00872E-04,-2.88885E-04,7.01402E-04,-1.90342E-04,8.03059E-04,-1.91315E-04,8.02202E-04,-2.89601E-04,4.89122E-02,-2.18469E-02,-2.18469E-02,-2.42935E-02,-2.42935E-02,-2.48709E-02,-2.48709E-02,1.85231E-07,-6.93279E-08,-6.93279E-08,-8.44736E-08,-8.44736E-08,-3.07925E-07,-3.07925E-07
88,48,46,5,6,7.01402E-04,-1.90342E-04,7.03552E-04,-9.92036E-05,8.11558E-04,-9.91927E-05,8.03059E-04,-1.91315E-04,2.15123E-01,-1.26200E-01,-1.26200E-01,-4.79656E-02,-4.79656E-02,-1.06621E-01,-1.06621E-01,8.34561E-07,-5.32430E-07,-5.32430E-07,-4.81219E-08,-4.81219E-08,-1.32007E-06,-1.32007E-06
89,10,43,49,9,4.88592E-04,-2.71366E-04,4.83824E-04,-1.73739E-04,5.92259E-04,-1.84616E-04,5.94920E-04,-2.83988E-04,2.77066E-01,4.37592E-03,4.37592E-03,-2.45420E-01,-2.45420E-01,-7.17434E-02,-7.17434E-02,1.06386E-06,3.71438E-07,3.71438E-07,-1.17492E-06,-1.17492E-06,-8.88252E-07,-8.88252E-07
90,9,49,48,8,5.94920E-04,-2.83988E-04,5.92259E-04,-1.84616E-04,7.01402E-04,-1.90342E-04,7.00872E-04,-2.88885E-04,1.62658E-01,-1.21810E-02,-1.21810E-02,-1.15194E-01,-1.15194E-01,-6.93851E-02,-6.93851E-02,6.33698E-07,1.06558E-07,1.06558E-07,-5.31140E-07,-5.31140E-07,-8.59053E-07,-8.59053E-07
91,43,42,47,49,4.83824E-04,-1.73739E-04,4.80504E-04,-8.51253E-05,5.88437E-04,-9.13548E-05,5.92259E-04,-1.84616E-04,3.04241E-01,2.31938E-02,2.31938E-02,-1.72654E-01,-1.72654E-01,-1.39297E-01,-1.39297E-01,1.22841E-06,3.57095E-07,3.57095E-07,-8.55296E-07,-8.55296E-07,-1.72462E-06,-1.72462E-06
92,49,47,46,48,5.92259E-04,-1.84616E-04,5.88437E-04,-9.13548E-05,7.03552E-04,-9.92036E-05,7.01402E-04,-1.90342E-04,3.11569E-01,-2.76979E-02,-2.76979E-02,-1.50845E-01,-1.50845E-01,-1.60968E-01,-1.60968E-01,1.24780E-06,8.35976E-08,8.35976E-08,-6.78740E-07,-6.78740E-07,-1.99293E-06,-1.99293E-06
93,30,50,52,29,4.88592E-04,2.71366E-04,4.83824E-04,1.73739E-04,3.81475E-04,1.59947E-04,3.87371E-04,2.50957E-04,3.74911E-01,-4.65304E-03,-4.65304E-03,3.57717E-01,3.57717E-01,-6.03055E-02,-6.03055E-02,1.42025E-06,-5.33182E-07,-5.33182E-07,1.71006E-06,1.71006E-06,-7.46640E-07,-7.46640E-07
94,29,52,37,28,3.87371E-04,2.50957E-04,3.81475E-04,1.59947E-04,2.87123E-04,1.42317E-04,2.94472E-04,2.24466E-04,4.73663E-01,-1.00168E-04,-1.00168E-04,4.63242E-01,4.63242E-01,-5.69117E-02,-5.69117E-02,1.78121E-06,-6.62252E-07,-6.62252E-07,2.20606E-06,2.20606E-06,-7.04621E-07,-7.04621E-07
95,38,53,51,39,3.76470E-04,-1.06307E-18,3.77837E-04,7.77904E-05,4.80504E-04,8.51253E-05,4.79334E-04,-1.18350E-18,3.27523E-01,-7.16147E-03,-7.16147E-03,2.19692E-01,2.19692E-01,-1.38302E-01,-1.38302E-01,1.30019E-06,-3.47948E-07,-3.47948E-07,1.05638E-06,1.05638E-06,-1.71231E-06,-1.71231E-06
96,53,52,50,51,3.77837E-04,7.77904E-05,3.81475E-04,1.59947E-04,4.83824E-04,1.73739E-04,4.80504E-04,8.51253E-05,3.66287E-01,-1.60694E-03,-1.60694E-03,2.78143E-01,2.78143E-01,-1.37056E-01,-1.37056E-01,1.43314E-06,-4.04999E-07,-4.04999E-07,1.32679E-06,1.32679E-06,-1.69688E-06,-1.69688E-06
97,35,36,53,38,2.81207E-04,-9.35520E-19,2.82662E-04,6.88842E-05,3.77837E-04,7.77904E-05,3.76470E-04,-1.06307E-18,3.08086E-01,-3.88088E-03,-3.88088E-03,7.58523E-02,7.58523E-02,-1.72099E-01,-1.72099E-01,1.26529E-06,-1.26841E-07,-1.26841E-07,3.66746E-07,3.66746E-07,-2.13075E-06,-2.13075E-06
98,36,37,52,53,2.82662E-04,6.88842E-05,2.87123E-04,1.42317E-04,3.81475E-04,1.59947E-04,3.77837E-04,7.77904E-05,3.20191E-01,-1.72777E-03,-1.72777E-03,9.29964E-02,9.29964E-02,-1.76739E-01,-1.76739E-01,1.31186E-06,-1.41079E-07,-1.41079E-07,4.45308E-07,4.45308E-07,-2.18820E-06,-2.18820E-06
99,1,2,54,32,8.02202E-04,2.89601E-04,8.03059E-04,1.91315E-04,7.01402E-04,1.90342E-04,7.00872E-04,2.88885E-04,4.89122E-02,2.18469E-02,2.18469E-02,2.42935E-02,2.42935E-02,-2.48709E-02,-2.48709E-02,1.85231E-07,6.93279E-08,6.93279E-08,8.44736E-08,8.44736E-08,-3.07925E-07,-3.07925E-07
100,32,54,55,31,7.00872E-04,2.88885E-04,7.01402E-04,1.90342E-04,5.92259E-04,1.84616E-04,5.94920E-04,2.83988E-04,1.62658E-01,1.21810E-02,1.21810E-02,1.15194E-01,1.15194E-01,-6.93851E-02,-6.93851E-02,6.33698E-07,-1.06558E-07,-1.06558E-07,5.31140E-07,5.31140E-07,-8.59053E-07,-8.59053E-07
101,31,55,50,30,5.94920E-04,2.83988E-04,5.92259E-04,1.84616E-04,4.83824E-04,1.73739E-04,4.88592E-04,2.71366E-04,2.77066E-01,-4.37592E-03,-4.37592E-03,2.45420E-01,2.45420E-01,-7.17434E-02,-7.17434E-02,1.06386E-06,-3.71438E-07,-3.71438E-07,1.17492E-06,1.17492E-06,-8.88252E-07,-8.88252E-07
102,41,56,3,4,6.97615E-04,-1.27105E-18,7.03552E-04,9.92036E-05,8.11558E-04,9.91927E-05,8.47240E-04,-1.40747E-18,5.14510E-01,3.43167E-01,3.43167E-01,1.02836E-01,1.02836E-01,-2.39215E-01,-2.39215E-01,1.97669E-06,1.48722E-06,1.48722E-06,-5.44941E-10,-5.44941E-10,-2.96171E-06,-2.96171E-06
103,56,54,2,3,7.03552E-04,9.92036E-05,7.01402E-04,1.90342E-04,8.03059E-04,1.91315E-04,8.11558E-04,9.91927E-05,2.15123E-01,1.26200E-01,1.26200E-01,4.79656E-02,4.79656E-02,-1.06621E-01,-1.06621E-01,8.34561E-07,5.32430E-07,5.32430E-07,4.81219E-08,4.81219E-08,-1.32007E-06,-1.32007E-06
104,39,51,57,40,4.79334E-04,-1.18350E-18,4.80504E-04,8.51253E-05,5.88437E-04,9.13548E-05,5.87417E-04,-1.21891E-18,2.84371E-01,-3.72009E-03,-3.72009E-03,6.42934E-02,6.42934E-02,-1.59666E-01,-1.59666E-01,1.16886E-06,-1.09562E-07,-1.09562E-07,3.11473E-07,3.11473E-07,-1.97682E-06,-1.97682E-06
105,40,57,56,41,5.87417E-04,-1.21891E-18,5.88437E-04,9.13548E-05,7.03552E-04,9.92036E-05,6.97615E-04,-1.27105E-18,2.64328E-01,-5.31156E-02,-5.31156E-02,6.64782E-02,6.64782E-02,-1.40354E-01,-1.40354E-01,1.09063E-06,-3.47900E-07,-3.47900E-07,3.92442E-07,3.92442E-07,-1.73771E-06,-1.73771E-06
106,51,50,55,57,4.80504E-04,8.51253E-05,4.83824E-04,1.73739E-04,5.92259E-04,1.84616E-04,5.88437E-04,9.13548E-05,3.04241E-01,-2.31938E-02,-2.31938E-02,1.72654E-01,1.72654E-01,-1.39297E-01,-1.39297E-01,1.22841E-06,-3.57095E-07,-3.57095E-07,8.55296E-07,8.55296E-07,-1.72462E-06,-1.72462E-06
107,57,55,54,56,5.88437E-04,9.13548E-05,5.92259E-04,1.84616E-04,7.01402E-04,1.90342E-04,7.03552E-04,9.92036E-05,3.11569E-01,2.76979E-02,2.76979E-02,1.50845E-01,1.50845E-01,-1.60968E-01,-1.60968E-01,1.24780E-06,-8.35976E-08,-8.35976E-08,6.78740E-07,6.78740E-07,-1.99293E-06,-1.99293E-06
108,59,62,64,58,6.15956E-05,-3.77085E-19,6.35831E-05,-3.01088E-05,2.06315E-05,-1.47879E-05,1.96149E-05,-1.77539E-19,3.21538E-01,-1.83717E-02,-1.83717E-02,-1.66381E-01,-1.66381E-01,-1.61682E-01,-1.61682E-01,1.28751E-06,1.50203E-07,1.50203E-07,-7.66046E-07,-7.66046E-07,-2.00178E-06,-2.00178E-06
109,58,64,19,20,1.96149E-05,-1.77539E-19,2.06315E-05,-1.47879E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.33668E-01,-3.94595E-02,-3.94595E-02,-1.67111E-01,-1.67111E-01,-1.02813E-01,-1.02813E-01,8.94954E-07,5.08277E-08,5.08277E-08,-7.39396E-07,-7.39396E-07,-1.27292E-06,-1.27292E-06
110,62,63,65,64,6.35831E-05,-3.01088E-05,7.07493E-05,-6.55813E-05,2.49021E-05,-3.13893E-05,2.06315E-05,-1.47879E-05,5.73846E-01,-3.94262E-02,-3.94262E-02,-5.31713E-01,-5.31713E-01,-1.48312E-01,-1.48312E-01,2.14997E-06,5.71846E-07,5.71846E-07,-2.47564E-06,-2.47564E-06,-1.83625E-06,-1.83625E-06
111,64,65,18,19,2.06315E-05,-1.47879E-05,2.49021E-05,-3.13893E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.14062E-01,-1.10567E-01,-1.10567E-01,-5.18031E-01,-5.18031E-01,-1.16842E-01,-1.16842E-01,1.81830E-06,2.13534E-07,2.13534E-07,-2.30886E-06,-2.30886E-06,-1.44661E-06,-1.44661E-06
112,63,15,16,65,7.07493E-05,-6.55813E-05,8.24626E-05,-1.10408E-04,3.86020E-05,-6.12562E-05,2.49021E-05,-3.13893E-05,8.82339E-01,4.73073E-03,4.73073E-03,-8.73691E-01,-8.73691E-01,-6.06340E-02,-6.06340E-02,3.31313E-06,1.27066E-06,1.27066E-06,-4.16719E-06,-4.16719E-06,-7.50706E-07,-7.50706E-07
113,65,16,17,18,2.49021E-05,-3.13893E-05,3.86020E-05,-6.12562E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,9.79424E-01,-1.62620E-01,-1.62620E-01,-1.02156E+00,-1.02156E+00,-1.35843E-01,-1.35843E-01,3.47830E-06,6.84994E-07,6.84994E-07,-4.63228E-06,-4.63228E-06,-1.68187E-06,-1.68187E-06
114,35,34,66,61,2.81207E-04,-9.35520E-19,2.82662E-04,-6.88842E-05,1.23651E-04,-4.51560E-05,1.95493E-04,-7.84112E-19,3.49540E-01,-3.33836E-03,-3.33836E-03,-1.58997E-01,-1.58997E-01,-1.80201E-01,-1.80201E-01,1.41466E-06,2.11242E-07,2.11242E-07,-7.52360E-07,-7.52360E-07,-2.23106E-06,-2.23106E-06
115,61,66,67,60,1.95493E-04,-7.84112E-19,1.23651E-04,-4.51560E-05,1.30002E-04,-9.51754E-05,1.21414E-04,-5.97812E-19,5.25335E-01,1.44495E-03,1.44495E-03,-4.68300E-01,-4.68300E-01,-1.36618E-01,-1.36618E-01,2.01034E-06,6.75881E-07,6.75881E-07,-2.23206E-06,-2.23206E-06,-1.69146E-06,-1.69146E-06
116,60,67,62,59,1.21414E-04,-5.97812E-19,1.30002E-04,-9.51754E-05,6.35831E-05,-3.01088E-05,6.15956E-05,-3.77085E-19,7.74325E-01,-2.55984E-04,-2.55984E-04,-7.68807E-01,-7.68807E-01,-5.38867E-02,-5.38867E-02,2.90238E-06,1.09708E-06,1.09708E-06,-3.66062E-06,-3.66062E-06,-6.67169E-07,-6.67169E-07
117,13,68,33,12,2.11518E-04,-1.92109E-04,1.97299E-04,-5.80703E-05,2.87123E-04,-1.42317E-04,2.94472E-04,-2.24466E-04,3.28861E-01,1.99713E-04,1.99713E-04,-1.13486E-01,-1.13486E-01,-1.78183E-01,-1.78183E-01,1.34283E-06,1.63074E-07,1.63074E-07,-5.40695E-07,-5.40695E-07,-2.20608E-06,-2.20608E-06
118,68,66,34,33,1.97299E-04,-5.80703E-05,1.23651E-04,-4.51560E-05,2.82662E-04,-6.88842E-05,2.87123E-04,-1.42317E-04,3.39691E-01,1.95121E-03,1.95121E-03,-1.35015E-01,-1.35015E-01,-1.79716E-01,-1.79716E-01,1.38267E-06,2.02169E-07,2.02169E-07,-6.45714E-07,-6.45714E-07,-2.22506E-06,-2.22506E-06
119,15,63,69,14,8.24626E-05,-1.10408E-04,7.07493E-05,-6.55813E-05,2.02636E-04,-1.20730E-04,1.40231E-04,-1.54026E-04,4.14268E-01,8.95698E-04,8.95698E-04,-3.39938E-01,-3.39938E-01,-1.36327E-01,-1.36327E-01,1.60482E-06,4.89891E-07,4.89891E-07,-1.62003E-06,-1.62003E-06,-1.68786E-06,-1.68786E-06
120,14,69,68,13,1.40231E-04,-1.54026E-04,2.02636E-04,-1.20730E-04,1.97299E-04,-5.80703E-05,2.11518E-04,-1.92109E-04,4.67630E-01,1.69753E-03,1.69753E-03,-4.03418E-01,-4.03418E-01,-1.35700E-01,-1.35700E-01,1.79905E-06,5.84395E-07,5.84395E-07,-1.92346E-06,-1.92346E-06,-1.68010E-06,-1.68010E-06
121,63,62,67,69,7.07493E-05,-6.55813E-05,6.35831E-05,-3.01088E-05,1.30002E-04,-9.51754E-05,2.02636E-04,-1.20730E-04,5.74820E-01,5.49211E-04,5.49211E-04,-5.66244E-01,-5.66244E-01,-5.61962E-02,-5.61962E-02,2.15874E-06,8.11536E-07,8.11536E-07,-2.69719E-06,-2.69719E-06,-6.95762E-07,-6.95762E-07
122,69,67,66,68,2.02636E-04,-1.20730E-04,1.30002E-04,-9.51754E-05,1.23651E-04,-4.51560E-05,1.97299E-04,-5.80703E-05,6.75062E-01,2.18310E-04,2.18310E-04,-6.68125E-01,-6.68125E-01,-5.52901E-02,-5.52901E-02,2.53237E-06,9.55505E-07,9.55505E-07,-3.18186E-06,-3.18186E-06,-6.84544E-07,-6.84544E-07
123,25,70,72,24,8.24626E-05,1.10408E-04,7.07493E-05,6.55813E-05,2.49021E-05,3.13893E-05,3.86020E-05,6.12562E-05,8.82339E-01,-4.73073E-03,-4.73073E-03,8.73691E-01,8.73691E-01,-6.06340E-02,-6.06340E-02,3.31313E-06,-1.27066E-06,-1.27066E-06,4.16719E-06,4.16719E-06,-7.50706E-07,-7.50706E-07
124,24,72,22,23,3.86020E-05,6.12562E-05,2.49021E-05,3.13893E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,9.79424E-01,1.62620E-01,1.62620E-01,1.02156E+00,1.02156E+00,-1.35843E-01,-1.35843E-01,3.47830E-06,-6.84994E-07,-6.84994E-07,4.63228E-06,4.63228E-06,-1.68187E-06,-1.68187E-06
125,70,71,73,72,7.07493E-05,6.55813E-05,6.35831E-05,3.01088E-05,2.06315E-05,1.47879E-05,2.49021E-05,3.13893E-05,5.73846E-01,3.94262E-02,3.94262E-02,5.31713E-01,5.31713E-01,-1.48312E-01,-1.48312E-01,2.14997E-06,-5.71846E-07,-5.71846E-07,2.47564E-06,2.47564E-06,-1.83625E-06,-1.83625E-06
126,72,73,21,22,2.49021E-05,3.13893E-05,2.06315E-05,1.47879E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.14062E-01,1.10567E-01,1.10567E-01,5.18031E-01,5.18031E-01,-1.16842E-01,-1.16842E-01,1.81830E-06,-2.13534E-07,-2.13534E-07,2.30886E-06,2.30886E-06,-1.44661E-06,-1.44661E-06
127,71,59,58,73,6.35831E-05,3.01088E-05,6.15956E-05,-3.77085E-19,1.96149E-05,-1.77539E-19,2.06315E-05,1.47879E-05,3.21538E-01,1.83717E-02,1.83717E-02,1.66381E-01,1.66381E-01,-1.61682E-01,-1.61682E-01,1.28751E-06,-1.50203E-07,-1.50203E-07,7.66046E-07,7.66046E-07,-2.00178E-06,-2.00178E-06
128,73,58,20,21,2.06315E-05,1.47879E-05,1.96149E-05,-1.77539E-19,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.33668E-01,3.94595E-02,3.94595E-02,1.67111E-01,1.67111E-01,-1.02813E-01,-1.02813E-01,8.94954E-07,-5.08277E-08,-5.08277E-08,7.39396E-07,7.39396E-07,-1.27292E-06,-1.27292E-06
129,28,37,74,27,2.94472E-04,2.24466E-04,2.87123E-04,1.42317E-04,2.02636E-04,1.20730E-04,2.11518E-04,1.92109E-04,5.74820E-01,-5.49211E-04,-5.49211E-04,5.66244E-01,5.66244E-01,-5.61962E-02,-5.61962E-02,2.15874E-06,-8.11536E-07,-8.11536E-07,2.69719E-06,2.69719E-06,-6.95762E-07,-6.95762E-07
130,27,74,75,26,2.11518E-04,1.92109E-04,2.02636E-04,1.20730E-04,1.30002E-04,9.51754E-05,1.40231E-04,1.54026E-04,6.75062E-01,-2.18310E-04,-2.18310E-04,6.68125E-01,6.68125E-01,-5.52901E-02,-5.52901E-02,2.53237E-06,-9.55505E-07,-9.55505E-07,3.18186E-06,3.18186E-06,-6.84544E-07,-6.84544E-07
131,26,75,70,25,1.40231E-04,1.54026E-04,1.30002E-04,9.51754E-05,7.07493E-05,6.55813E-05,8.24626E-05,1.10408E-04,7.74325E-01,2.55984E-04,2.55984E-04,7.68807E-01,7.68807E-01,-5.38867E-02,-5.38867E-02,2.90238E-06,-1.09708E-06,-1.09708E-06,3.66062E-06,3.66062E-06,-6.67169E-07,-6.67169E-07
132,61,76,36,35,1.95493E-04,-7.84112E-19,1.97299E-04,5.80703E-05,2.82662E-04,6.88842E-05,2.81207E-04,-9.35520E-19,3.28861E-01,-1.99713E-04,-1.99713E-04,1.13486E-01,1.13486E-01,-1.78183E-01,-1.78183E-01,1.34283E-06,-1.63074E-07,-1.63074E-07,5.40695E-07,5.40695E-07,-2.20608E-06,-2.20608E-06
133,76,74,37,36,1.97299E-04,5.80703E-05,2.02636E-04,1.20730E-04,2.87123E-04,1.42317E-04,2.82662E-04,6.88842E-05,4.14268E-01,-8.95698E-04,-8.95698E-04,3.39938E-01,3.39938E-01,-1.36327E-01,-1.36327E-01,1.60482E-06,-4.89891E-07,-4.89891E-07,1.62003E-06,1.62003E-06,-1.68786E-06,-1.68786E-06
134,60,77,76,61,1.21414E-04,-5.97812E-19,1.23651E-04,4.51560E-05,1.97299E-04,5.80703E-05,1.95493E-04,-7.84112E-19,3.39691E-01,-1.95121E-03,-1.95121E-03,1.35015E-01,1.35015E-01,-1.79716E-01,-1.79716E-01,1.38267E-06,-2.02169E-07,-2.02169E-07,6.45714E-07,6.45714E-07,-2.22506E-06,-2.22506E-06
135,77,75,74,76,1.23651E-04,4.51560E-05,1.30002E-04,9.51754E-05,2.02636E-04,1.20730E-04,1.97299E-04,5.80703E-05,4.67630E-01,-1.69753E-03,-1.69753E-03,4.03418E-01,4.03418E-01,-1.35700E-01,-1.35700E-01,1.79905E-06,-5.84395E-07,-5.84395E-07,1.92346E-06,1.92346E-06,-1.68010E-06,-1.68010E-06
136,59,71,77,60,6.15956E-05,-3.77085E-19,6.35831E-05,3.01088E-05,1.23651E-04,4.51560E-05,1.21414E-04,-5.97812E-19,3.49540E-01,3.33836E-03,3.33836E-03,1.58997E-01,1.58997E-01,-1.80201E-01,-1.80201E-01,1.41466E-06,-2.11242E-07,-2.11242E-07,7.52360E-07,7.52360E-07,-2.23106E-06,-2.23106E-06
137,71,70,75,77,6.35831E-05,3.01088E-05,7.07493E-05,6.55813E-05,1.30002E-04,9.51754E-05,1.23651E-04,4.51560E-05,5.25335E-01,-1.44495E-03,-1.44495E-03,4.68300E-01,4.68300E-01,-1.36618E-01,-1.36618E-01,2.01034E-06,-6.75881E-07,-6.75881E-07,2.23206E-06,2.23206E-06,-1.69146E-06,-1.69146E-06
