Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-1.32937E-04,-4.79911E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.64524E-06
2,1,3,-1,54,0,0.0,0.0,-1.33079E-04,-3.17038E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.63754E-06
3,2,4,-1,56,0,0.0,0.0,-1.34487E-04,-1.64377E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.55778E-06
4,3,5,-1,41,0,-1.2286309358665548,0.0,-1.40400E-04,2.33239E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.32291E-06
5,4,6,-1,46,0,0.0,0.0,-1.34487E-04,1.64377E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.55778E-06
6,5,7,-1,48,0,0.0,0.0,-1.33079E-04,3.17038E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.63754E-06
7,6,-1,-1,8,0,0.0,0.0,-1.32937E-04,4.79911E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.64524E-06
8,48,-1,7,9,0,0.0,0.0,-1.16145E-04,4.78724E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.67775E-06
9,49,-1,8,10,0,0.0,0.0,-9.85871E-05,4.70610E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.68934E-06
10,43,-1,9,11,0,0.0,0.0,-8.09669E-05,4.49693E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.67603E-06
11,45,-1,10,12,0,0.0,0.0,-6.41932E-05,4.15873E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.56046E-06
12,33,-1,11,13,0,0.0,0.0,-4.87984E-05,3.71973E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.40755E-06
13,69,-1,12,14,0,0.0,0.0,-3.50516E-05,3.18352E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.22752E-06
14,67,-1,13,15,0,0.0,0.0,-2.32383E-05,2.55245E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.02919E-06
15,63,-1,14,16,0,0.0,0.0,-1.36653E-05,1.82963E-05,0.00000E+00,0.00000E+00,0.00000E+00,7.58692E-07
16,65,-1,15,17,0,0.0,0.0,-6.39693E-06,1.01511E-05,0.00000E+00,0.00000E+00,0.00000E+00,6.89152E-07
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-6.39693E-06,-1.01511E-05,0.00000E+00,0.00000E+00,0.00000E+00,6.89152E-07
25,-1,70,26,24,0,0.0,0.0,-1.36653E-05,-1.82963E-05,0.00000E+00,0.00000E+00,0.00000E+00,7.58692E-07
26,-1,75,27,25,0,0.0,0.0,-2.32383E-05,-2.55245E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.02919E-06
27,-1,74,28,26,0,0.0,0.0,-3.50516E-05,-3.18352E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.22752E-06
28,-1,37,29,27,0,0.0,0.0,-4.87984E-05,-3.71973E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.40755E-06
29,-1,52,30,28,0,0.0,0.0,-6.41932E-05,-4.15873E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.56046E-06
30,-1,50,31,29,0,0.0,0.0,-8.09669E-05,-4.49693E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.67603E-06
31,-1,55,32,30,0,0.0,0.0,-9.85871E-05,-4.70610E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.68934E-06
32,-1,54,1,31,0,0.0,0.0,-1.16145E-04,-4.78724E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.67775E-06
33,34,12,45,69,0,0.0,0.0,-4.75806E-05,2.35841E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.39183E-06
34,35,33,44,68,0,0.0,0.0,-4.68413E-05,1.14151E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.34158E-06
35,36,34,38,61,0,0.0,0.0,-4.66001E-05,1.56254E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.32567E-06
36,37,35,53,76,0,0.0,0.0,-4.68413E-05,-1.14151E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.34158E-06
37,28,36,52,74,0,0.0,0.0,-4.75806E-05,-2.35841E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.39183E-06
38,53,44,39,35,0,0.0,0.0,-6.23867E-05,1.74992E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.46259E-06
39,51,42,40,38,0,0.0,0.0,-7.94327E-05,1.93450E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.60192E-06
40,57,47,41,39,0,0.0,0.0,-9.73437E-05,2.01992E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.59358E-06
41,56,46,4,40,0,0.0,0.0,-1.15605E-04,2.10631E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.98342E-06
42,39,43,47,44,0,0.0,0.0,-7.96266E-05,1.41065E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.57759E-06
43,42,10,49,45,0,0.0,0.0,-8.01769E-05,2.87912E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.66066E-06
44,38,45,42,34,0,0.0,0.0,-6.26131E-05,1.28910E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.49164E-06
45,44,11,43,33,0,0.0,0.0,-6.32161E-05,2.65055E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.53585E-06
46,41,48,5,47,0,0.0,0.0,-1.16589E-04,1.64395E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.70422E-06
47,40,49,46,42,0,0.0,0.0,-9.75128E-05,1.51388E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.73311E-06
