Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,-7.41936E-05,1.81991E-19,-7.43748E-05,1.31761E-05,-5.84834E-05,1.20408E-05,-5.82719E-05,1.61205E-19,4.76871E-02,-6.00702E-04,-6.00702E-04,1.17408E-02,1.17408E-02,2.66383E-02,2.66383E-02,1.95848E-07,-1.96331E-08,-1.96331E-08,5.67667E-08,5.67667E-08,3.29808E-07,3.29808E-07
79,38,44,34,35,-5.82719E-05,1.61205E-19,-5.84834E-05,1.20408E-05,-4.37518E-05,1.06622E-05,-4.35265E-05,1.50424E-19,4.95607E-02,-2.67433E-04,-2.67433E-04,1.43944E-02,1.43944E-02,2.73566E-02,2.73566E-02,2.03056E-07,-2.18370E-08,-2.18370E-08,6.89270E-08,6.89270E-08,3.38700E-07,3.38700E-07
80,11,45,43,10,-5.99593E-05,3.88444E-05,-5.90466E-05,2.47573E-05,-7.48887E-05,2.68923E-05,-7.56267E-05,4.20033E-05,5.80305E-02,-7.20221E-04,-7.20221E-04,5.53692E-02,5.53692E-02,9.33439E-03,9.33439E-03,2.19833E-07,-8.25285E-08,-8.25285E-08,2.64692E-07,2.64692E-07,1.15569E-07,1.15569E-07
81,45,44,42,43,-5.90466E-05,2.47573E-05,-5.84834E-05,1.20408E-05,-7.43748E-05,1.31761E-05,-7.48887E-05,2.68923E-05,5.06957E-02,-1.10849E-03,-1.10849E-03,3.40051E-02,3.40051E-02,2.14071E-02,2.14071E-02,2.01249E-07,-5.38572E-08,-5.38572E-08,1.63512E-07,1.63512E-07,2.65040E-07,2.65040E-07
82,12,33,45,11,-4.55798E-05,3.47439E-05,-4.44423E-05,2.20285E-05,-5.90466E-05,2.47573E-05,-5.99593E-05,3.88444E-05,7.33159E-02,-1.55046E-05,-1.55046E-05,7.17029E-02,7.17029E-02,8.80906E-03,8.80906E-03,2.75705E-07,-1.02507E-07,-1.02507E-07,3.41465E-07,3.41465E-07,1.09065E-07,1.09065E-07
83,33,34,44,45,-4.44423E-05,2.20285E-05,-4.37518E-05,1.06622E-05,-5.84834E-05,1.20408E-05,-5.90466E-05,2.47573E-05,5.66956E-02,-2.48730E-04,-2.48730E-04,4.30524E-02,4.30524E-02,2.12141E-02,2.12141E-02,2.21829E-07,-6.26878E-08,-6.26878E-08,2.05367E-07,2.05367E-07,2.62651E-07,2.62651E-07
84,4,5,46,41,-1.31140E-04,2.17856E-19,-1.25617E-04,1.53535E-05,-1.08899E-04,1.53552E-05,-1.07980E-04,1.96739E-19,7.96383E-02,5.31171E-02,5.31171E-02,1.59174E-02,1.59174E-02,3.70269E-02,3.70269E-02,3.05962E-07,2.30199E-07,2.30199E-07,-8.43487E-11,-8.43487E-11,4.58428E-07,4.58428E-07
85,41,46,47,40,-1.07980E-04,1.96739E-19,-1.08899E-04,1.53552E-05,-9.10812E-05,1.41403E-05,-9.09233E-05,1.88669E-19,4.09140E-02,-8.22149E-03,-8.22149E-03,1.02898E-02,1.02898E-02,2.17246E-02,2.17246E-02,1.68813E-07,-5.38497E-08,-5.38497E-08,6.07442E-08,6.07442E-08,2.68972E-07,2.68972E-07
86,40,47,42,39,-9.09233E-05,1.88669E-19,-9.10812E-05,1.41403E-05,-7.43748E-05,1.31761E-05,-7.41936E-05,1.81991E-19,4.40163E-02,-5.75814E-04,-5.75814E-04,9.95164E-03,9.95164E-03,2.47140E-02,2.47140E-02,1.80922E-07,-1.69586E-08,-1.69586E-08,4.82114E-08,4.82114E-08,3.05982E-07,3.05982E-07
87,8,48,6,7,-1.08484E-04,4.47150E-05,-1.08567E-04,2.94621E-05,-1.24301E-04,2.96127E-05,-1.24169E-04,4.48258E-05,7.57087E-03,3.38157E-03,3.38157E-03,3.76027E-03,3.76027E-03,3.84963E-03,3.84963E-03,2.86710E-08,1.07309E-08,1.07309E-08,1.30752E-08,1.30752E-08,4.76621E-08,4.76621E-08
88,48,46,5,6,-1.08567E-04,2.94621E-05,-1.08899E-04,1.53552E-05,-1.25617E-04,1.53535E-05,-1.24301E-04,2.96127E-05,3.32977E-02,1.95339E-02,1.95339E-02,7.42435E-03,7.42435E-03,1.65033E-02,1.65033E-02,1.29177E-07,8.24121E-08,8.24121E-08,7.44854E-09,7.44854E-09,2.04326E-07,2.04326E-07
89,10,43,49,9,-7.56267E-05,4.20033E-05,-7.48887E-05,2.68923E-05,-9.16728E-05,2.85758E-05,-9.20847E-05,4.39570E-05,4.28856E-02,-6.77326E-04,-6.77326E-04,3.79873E-02,3.79873E-02,1.11048E-02,1.11048E-02,1.64670E-07,-5.74930E-08,-5.74930E-08,1.81860E-07,1.81860E-07,1.37488E-07,1.37488E-07
90,9,49,48,8,-9.20847E-05,4.39570E-05,-9.16728E-05,2.85758E-05,-1.08567E-04,2.94621E-05,-1.08484E-04,4.47150E-05,2.51770E-02,1.88544E-03,1.88544E-03,1.78302E-02,1.78302E-02,1.07398E-02,1.07398E-02,9.80869E-08,-1.64935E-08,-1.64935E-08,8.22124E-08,8.22124E-08,1.32968E-07,1.32968E-07
91,43,42,47,49,-7.48887E-05,2.68923E-05,-7.43748E-05,1.31761E-05,-9.10812E-05,1.41403E-05,-9.16728E-05,2.85758E-05,4.70919E-02,-3.59005E-03,-3.59005E-03,2.67242E-02,2.67242E-02,2.15610E-02,2.15610E-02,1.90139E-07,-5.52730E-08,-5.52730E-08,1.32387E-07,1.32387E-07,2.66946E-07,2.66946E-07
92,49,47,46,48,-9.16728E-05,2.85758E-05,-9.10812E-05,1.41403E-05,-1.08899E-04,1.53552E-05,-1.08567E-04,2.94621E-05,4.82261E-02,4.28722E-03,4.28722E-03,2.33485E-02,2.33485E-02,2.49154E-02,2.49154E-02,1.93140E-07,-1.29397E-08,-1.29397E-08,1.05059E-07,1.05059E-07,3.08476E-07,3.08476E-07
93,30,50,52,29,-7.56267E-05,-4.20033E-05,-7.48887E-05,-2.68923E-05,-5.90466E-05,-2.47573E-05,-5.99593E-05,-3.88444E-05,5.80305E-02,7.20221E-04,7.20221E-04,-5.53692E-02,-5.53692E-02,9.33439E-03,9.33439E-03,2.19833E-07,8.25285E-08,8.25285E-08,-2.64692E-07,-2.64692E-07,1.15569E-07,1.15569E-07
94,29,52,37,28,-5.99593E-05,-3.88444E-05,-5.90466E-05,-2.47573E-05,-4.44423E-05,-2.20285E-05,-4.55798E-05,-3.47439E-05,7.33159E-02,1.55046E-05,1.55046E-05,-7.17029E-02,-7.17029E-02,8.80906E-03,8.80906E-03,2.75705E-07,1.02507E-07,1.02507E-07,-3.41465E-07,-3.41465E-07,1.09065E-07,1.09065E-07
95,38,53,51,39,-5.82719E-05,1.61205E-19,-5.84834E-05,-1.20408E-05,-7.43748E-05,-1.31761E-05,-7.41936E-05,1.81991E-19,5.06957E-02,1.10849E-03,1.10849E-03,-3.40051E-02,-3.40051E-02,2.14071E-02,2.14071E-02,2.01249E-07,5.38572E-08,5.38572E-08,-1.63512E-07,-1.63512E-07,2.65040E-07,2.65040E-07
96,53,52,50,51,-5.84834E-05,-1.20408E-05,-5.90466E-05,-2.47573E-05,-7.48887E-05,-2.68923E-05,-7.43748E-05,-1.31761E-05,5.66956E-02,2.48730E-04,2.48730E-04,-4.30524E-02,-4.30524E-02,2.12141E-02,2.12141E-02,2.21829E-07,6.26878E-08,6.26878E-08,-2.05367E-07,-2.05367E-07,2.62651E-07,2.62651E-07
97,35,36,53,38,-4.35265E-05,1.50424E-19,-4.37518E-05,-1.06622E-05,-5.84834E-05,-1.20408E-05,-5.82719E-05,1.61205E-19,4.76871E-02,6.00702E-04,6.00702E-04,-1.17408E-02,-1.17408E-02,2.66383E-02,2.66383E-02,1.95848E-07,1.96331E-08,1.96331E-08,-5.67667E-08,-5.67667E-08,3.29808E-07,3.29808E-07
98,36,37,52,53,-4.37518E-05,-1.06622E-05,-4.44423E-05,-2.20285E-05,-5.90466E-05,-2.47573E-05,-5.84834E-05,-1.20408E-05,4.95607E-02,2.67433E-04,2.67433E-04,-1.43944E-02,-1.43944E-02,2.73566E-02,2.73566E-02,2.03056E-07,2.18370E-08,2.18370E-08,-6.89270E-08,-6.89270E-08,3.38700E-07,3.38700E-07
99,1,2,54,32,-1.24169E-04,-4.48258E-05,-1.24301E-04,-2.96127E-05,-1.08567E-04,-2.94621E-05,-1.08484E-04,-4.47150E-05,7.57087E-03,-3.38157E-03,-3.38157E-03,-3.76027E-03,-3.76027E-03,3.84963E-03,3.84963E-03,2.86710E-08,-1.07309E-08,-1.07309E-08,-1.30752E-08,-1.30752E-08,4.76621E-08,4.76621E-08
100,32,54,55,31,-1.08484E-04,-4.47150E-05,-1.08567E-04,-2.94621E-05,-9.16728E-05,-2.85758E-05,-9.20847E-05,-4.39570E-05,2.51770E-02,-1.88544E-03,-1.88544E-03,-1.78302E-02,-1.78302E-02,1.07398E-02,1.07398E-02,9.80869E-08,1.64935E-08,1.64935E-08,-8.22124E-08,-8.22124E-08,1.32968E-07,1.32968E-07
101,31,55,50,30,-9.20847E-05,-4.39570E-05,-9.16728E-05,-2.85758E-05,-7.48887E-05,-2.68923E-05,-7.56267E-05,-4.20033E-05,4.28856E-02,6.77326E-04,6.77326E-04,-3.79873E-02,-3.79873E-02,1.11048E-02,1.11048E-02,1.64670E-07,5.74930E-08,5.74930E-08,-1.81860E-07,-1.81860E-07,1.37488E-07,1.37488E-07
102,41,56,3,4,-1.07980E-04,1.96739E-19,-1.08899E-04,-1.53552E-05,-1.25617E-04,-1.53535E-05,-1.31140E-04,2.17856E-19,7.96383E-02,-5.31171E-02,-5.31171E-02,-1.59174E-02,-1.59174E-02,3.70269E-02,3.70269E-02,3.05962E-07,-2.30199E-07,-2.30199E-07,8.43487E-11,8.43487E-11,4.58428E-07,4.58428E-07
103,56,54,2,3,-1.08899E-04,-1.53552E-05,-1.08567E-04,-2.94621E-05,-1.24301E-04,-2.96127E-05,-1.25617E-04,-1.53535E-05,3.32977E-02,-1.95339E-02,-1.95339E-02,-7.42435E-03,-7.42435E-03,1.65033E-02,1.65033E-02,1.29177E-07,-8.24121E-08,-8.24121E-08,-7.44854E-09,-7.44854E-09,2.04326E-07,2.04326E-07
104,39,51,57,40,-7.41936E-05,1.81991E-19,-7.43748E-05,-1.31761E-05,-9.10812E-05,-1.41403E-05,-9.09233E-05,1.88669E-19,4.40163E-02,5.75814E-04,5.75814E-04,-9.95164E-03,-9.95164E-03,2.47140E-02,2.47140E-02,1.80922E-07,1.69586E-08,1.69586E-08,-4.82114E-08,-4.82114E-08,3.05982E-07,3.05982E-07
105,40,57,56,41,-9.09233E-05,1.88669E-19,-9.10812E-05,-1.41403E-05,-1.08899E-04,-1.53552E-05,-1.07980E-04,1.96739E-19,4.09140E-02,8.22149E-03,8.22149E-03,-1.02898E-02,-1.02898E-02,2.17246E-02,2.17246E-02,1.68813E-07,5.38497E-08,5.38497E-08,-6.07442E-08,-6.07442E-08,2.68972E-07,2.68972E-07
106,51,50,55,57,-7.43748E-05,-1.31761E-05,-7.48887E-05,-2.68923E-05,-9.16728E-05,-2.85758E-05,-9.10812E-05,-1.41403E-05,4.70919E-02,3.59005E-03,3.59005E-03,-2.67242E-02,-2.67242E-02,2.15610E-02,2.15610E-02,1.90139E-07,5.52730E-08,5.52730E-08,-1.32387E-07,-1.32387E-07,2.66946E-07,2.66946E-07
107,57,55,54,56,-9.10812E-05,-1.41403E-05,-9.16728E-05,-2.85758E-05,-1.08567E-04,-2.94621E-05,-1.08899E-04,-1.53552E-05,4.82261E-02,-4.28722E-03,-4.28722E-03,-2.33485E-02,-2.33485E-02,2.49154E-02,2.49154E-02,1.93140E-07,1.29397E-08,1.29397E-08,-1.05059E-07,-1.05059E-07,3.08476E-07,3.08476E-07
108,59,62,64,58,-9.53407E-06,6.01517E-20,-9.84170E-06,4.66039E-06,-3.19344E-06,2.28895E-06,-3.03609E-06,2.83051E-20,4.97692E-02,2.84367E-03,2.84367E-03,2.57533E-02,2.57533E-02,2.50259E-02,2.50259E-02,1.99287E-07,-2.32492E-08,-2.32492E-08,1.18572E-07,1.18572E-07,3.09845E-07,3.09845E-07
109,58,64,19,20,-3.03609E-06,2.83051E-20,-3.19344E-06,2.28895E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.61682E-02,6.10773E-03,6.10773E-03,2.58662E-02,2.58662E-02,1.59139E-02,1.59139E-02,1.38525E-07,-7.86736E-09,-7.86736E-09,1.14447E-07,1.14447E-07,1.97029E-07,1.97029E-07
110,62,63,65,64,-9.84170E-06,4.66039E-06,-1.09509E-05,1.01510E-05,-3.85448E-06,4.85860E-06,-3.19344E-06,2.28895E-06,8.88227E-02,6.10259E-03,6.10259E-03,8.23012E-02,8.23012E-02,2.29565E-02,2.29565E-02,3.32783E-07,-8.85132E-08,-8.85132E-08,3.83192E-07,3.83192E-07,2.84223E-07,2.84223E-07
111,64,65,18,19,-3.19344E-06,2.28895E-06,-3.85448E-06,4.85860E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,7.95691E-02,1.71141E-02,1.71141E-02,8.01834E-02,8.01834E-02,1.80853E-02,1.80853E-02,2.81445E-07,-3.30518E-08,-3.30518E-08,3.57377E-07,3.57377E-07,2.23913E-07,2.23913E-07
112,63,15,16,65,-1.09509E-05,1.01510E-05,-1.27640E-05,1.70895E-05,-5.97501E-06,9.48153E-06,-3.85448E-06,4.85860E-06,1.36573E-01,-7.32246E-04,-7.32246E-04,1.35234E-01,1.35234E-01,9.38523E-03,9.38523E-03,5.12822E-07,-1.96679E-07,-1.96679E-07,6.45019E-07,6.45019E-07,1.16198E-07,1.16198E-07
113,65,16,17,18,-3.85448E-06,4.85860E-06,-5.97501E-06,9.48153E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.51600E-01,2.51712E-02,2.51712E-02,1.58123E-01,1.58123E-01,2.10265E-02,2.10265E-02,5.38388E-07,-1.06027E-07,-1.06027E-07,7.17007E-07,7.17007E-07,2.60328E-07,2.60328E-07
114,35,34,66,61,-4.35265E-05,1.50424E-19,-4.37518E-05,1.06622E-05,-1.91393E-05,6.98947E-06,-3.02594E-05,1.24833E-19,5.41034E-02,5.16728E-04,5.16728E-04,2.46103E-02,2.46103E-02,2.78924E-02,2.78924E-02,2.18968E-07,-3.26970E-08,-3.26970E-08,1.16454E-07,1.16454E-07,3.45335E-07,3.45335E-07
115,61,66,67,60,-3.02594E-05,1.24833E-19,-1.91393E-05,6.98947E-06,-2.01224E-05,1.47317E-05,-1.87930E-05,9.35532E-20,8.13140E-02,-2.23656E-04,-2.23656E-04,7.24858E-02,7.24858E-02,2.11464E-02,2.11464E-02,3.11171E-07,-1.04616E-07,-1.04616E-07,3.45490E-07,3.45490E-07,2.61813E-07,2.61813E-07
116,60,67,62,59,-1.87930E-05,9.35532E-20,-2.01224E-05,1.47317E-05,-9.84170E-06,4.66039E-06,-9.53407E-06,6.01517E-20,1.19854E-01,3.96224E-05,3.96224E-05,1.19000E-01,1.19000E-01,8.34086E-03,8.34086E-03,4.49244E-07,-1.69811E-07,-1.69811E-07,5.66609E-07,5.66609E-07,1.03268E-07,1.03268E-07
117,13,68,33,12,-3.27397E-05,2.97355E-05,-3.05389E-05,8.98841E-06,-4.44423E-05,2.20285E-05,-4.55798E-05,3.47439E-05,5.09027E-02,-3.09126E-05,-3.09126E-05,1.75659E-02,1.75659E-02,2.75801E-02,2.75801E-02,2.07850E-07,-2.52414E-08,-2.52414E-08,8.36915E-08,8.36915E-08,3.41468E-07,3.41468E-07
118,68,66,34,33,-3.05389E-05,8.98841E-06,-1.91393E-05,6.98947E-06,-4.37518E-05,1.06622E-05,-4.44423E-05,2.20285E-05,5.25790E-02,-3.02018E-04,-3.02018E-04,2.08982E-02,2.08982E-02,2.78174E-02,2.78174E-02,2.14017E-07,-3.12928E-08,-3.12928E-08,9.99468E-08,9.99468E-08,3.44405E-07,3.44405E-07
119,15,63,69,14,-1.27640E-05,1.70895E-05,-1.09509E-05,1.01510E-05,-3.13650E-05,1.86872E-05,-2.17056E-05,2.38410E-05,6.41225E-02,-1.38640E-04,-1.38640E-04,5.26173E-02,5.26173E-02,2.11014E-02,2.11014E-02,2.48403E-07,-7.58277E-08,-7.58277E-08,2.50756E-07,2.50756E-07,2.61255E-07,2.61255E-07
120,14,69,68,13,-2.17056E-05,2.38410E-05,-3.13650E-05,1.86872E-05,-3.05389E-05,8.98841E-06,-3.27397E-05,2.97355E-05,7.23820E-02,-2.62752E-04,-2.62752E-04,6.24431E-02,6.24431E-02,2.10043E-02,2.10043E-02,2.78466E-07,-9.04556E-08,-9.04556E-08,2.97723E-07,2.97723E-07,2.60054E-07,2.60054E-07
121,63,62,67,69,-1.09509E-05,1.01510E-05,-9.84170E-06,4.66039E-06,-2.01224E-05,1.47317E-05,-3.13650E-05,1.86872E-05,8.89735E-02,-8.50096E-05,-8.50096E-05,8.76461E-02,8.76461E-02,8.69832E-03,8.69832E-03,3.34140E-07,-1.25614E-07,-1.25614E-07,4.17484E-07,4.17484E-07,1.07693E-07,1.07693E-07
122,69,67,66,68,-3.13650E-05,1.86872E-05,-2.01224E-05,1.47317E-05,-1.91393E-05,6.98947E-06,-3.05389E-05,8.98841E-06,1.04489E-01,-3.37911E-05,-3.37911E-05,1.03416E-01,1.03416E-01,8.55807E-03,8.55807E-03,3.91972E-07,-1.47898E-07,-1.47898E-07,4.92504E-07,4.92504E-07,1.05957E-07,1.05957E-07
123,25,70,72,24,-1.27640E-05,-1.70895E-05,-1.09509E-05,-1.01510E-05,-3.85448E-06,-4.85860E-06,-5.97501E-06,-9.48153E-06,1.36573E-01,7.32246E-04,7.32246E-04,-1.35234E-01,-1.35234E-01,9.38523E-03,9.38523E-03,5.12822E-07,1.96679E-07,1.96679E-07,-6.45019E-07,-6.45019E-07,1.16198E-07,1.16198E-07
