Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,-5.69766E-04,1.43926E-18,-5.71158E-04,1.01185E-04,-4.49121E-04,9.24666E-05,-4.47497E-04,1.31440E-18,3.66211E-01,-4.61306E-03,-4.61306E-03,9.01629E-02,9.01629E-02,2.04568E-01,2.04568E-01,1.50401E-06,-1.50771E-07,-1.50771E-07,4.35937E-07,4.35937E-07,2.53275E-06,2.53275E-06
79,38,44,34,35,-4.47497E-04,1.31440E-18,-4.49121E-04,9.24666E-05,-3.35990E-04,8.18802E-05,-3.34260E-04,1.16200E-18,3.80599E-01,-2.05374E-03,-2.05374E-03,1.10541E-01,1.10541E-01,2.10084E-01,2.10084E-01,1.55936E-06,-1.67696E-07,-1.67696E-07,5.29322E-07,5.29322E-07,2.60103E-06,2.60103E-06
80,11,45,43,10,-4.60454E-04,2.98304E-04,-4.53446E-04,1.90123E-04,-5.75105E-04,2.06518E-04,-5.80771E-04,3.22563E-04,4.45643E-01,-5.53090E-03,-5.53090E-03,4.25206E-01,4.25206E-01,7.16830E-02,7.16830E-02,1.68820E-06,-6.33774E-07,-6.33774E-07,2.03269E-06,2.03269E-06,8.87504E-07,8.87504E-07
81,45,44,42,43,-4.53446E-04,1.90123E-04,-4.49121E-04,9.24666E-05,-5.71158E-04,1.01185E-04,-5.75105E-04,2.06518E-04,3.89315E-01,-8.51258E-03,-8.51258E-03,2.61140E-01,2.61140E-01,1.64394E-01,1.64394E-01,1.54548E-06,-4.13594E-07,-4.13594E-07,1.25569E-06,1.25569E-06,2.03536E-06,2.03536E-06
82,12,33,45,11,-3.50028E-04,2.66814E-04,-3.41293E-04,1.69167E-04,-4.53446E-04,1.90123E-04,-4.60454E-04,2.98304E-04,5.63026E-01,-1.19067E-04,-1.19067E-04,5.50639E-01,5.50639E-01,6.76488E-02,6.76488E-02,2.11726E-06,-7.87195E-07,-7.87195E-07,2.62226E-06,2.62226E-06,8.37557E-07,8.37557E-07
83,33,34,44,45,-3.41293E-04,1.69167E-04,-3.35990E-04,8.18802E-05,-4.49121E-04,9.24666E-05,-4.53446E-04,1.90123E-04,4.35392E-01,-1.91011E-03,-1.91011E-03,3.30619E-01,3.30619E-01,1.62913E-01,1.62913E-01,1.70353E-06,-4.81408E-07,-4.81408E-07,1.57710E-06,1.57710E-06,2.01702E-06,2.01702E-06
84,4,5,46,41,-1.00708E-03,1.67301E-18,-9.64669E-04,1.17907E-04,-8.36287E-04,1.17920E-04,-8.29229E-04,1.51085E-18,6.11579E-01,4.07910E-01,4.07910E-01,1.22237E-01,1.22237E-01,2.84346E-01,2.84346E-01,2.34962E-06,1.76780E-06,1.76780E-06,-6.47752E-10,-6.47752E-10,3.52048E-06,3.52048E-06
85,41,46,47,40,-8.29229E-04,1.51085E-18,-8.36287E-04,1.17920E-04,-6.99454E-04,1.08590E-04,-6.98241E-04,1.44888E-18,3.14197E-01,-6.31365E-02,-6.31365E-02,7.90203E-02,7.90203E-02,1.66833E-01,1.66833E-01,1.29639E-06,-4.13536E-07,-4.13536E-07,4.66482E-07,4.66482E-07,2.06556E-06,2.06556E-06
86,40,47,42,39,-6.98241E-04,1.44888E-18,-6.99454E-04,1.08590E-04,-5.71158E-04,1.01185E-04,-5.69766E-04,1.43926E-18,3.38021E-01,-4.42194E-03,-4.42194E-03,7.64232E-02,7.64232E-02,1.89790E-01,1.89790E-01,1.38938E-06,-1.30233E-07,-1.30233E-07,3.70237E-07,3.70237E-07,2.34978E-06,2.34978E-06
87,8,48,6,7,-8.33102E-04,3.43387E-04,-8.33732E-04,2.26252E-04,-9.54567E-04,2.27409E-04,-9.53549E-04,3.44238E-04,5.81402E-02,2.59686E-02,2.59686E-02,2.88768E-02,2.88768E-02,2.95631E-02,2.95631E-02,2.20178E-07,8.24075E-08,8.24075E-08,1.00411E-07,1.00411E-07,3.66019E-07,3.66019E-07
