Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,9.19061E-04,3.31787E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.13744E-05
2,1,3,-1,54,0,0.0,0.0,9.20042E-04,2.19185E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.13212E-05
3,2,4,-1,56,0,0.0,0.0,9.29779E-04,1.13642E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.07697E-05
4,3,5,-1,41,0,8.494161854082531,0.0,9.70659E-04,-1.61250E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.60595E-05
5,4,6,-1,46,0,0.0,0.0,9.29779E-04,-1.13642E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.07697E-05
6,5,7,-1,48,0,0.0,0.0,9.20042E-04,-2.19185E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.13212E-05
7,6,-1,-1,8,0,0.0,0.0,9.19061E-04,-3.31787E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.13744E-05
8,48,-1,7,9,0,0.0,0.0,8.02970E-04,-3.30967E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.15992E-05
9,49,-1,8,10,0,0.0,0.0,6.81584E-04,-3.25357E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.16793E-05
10,43,-1,9,11,0,0.0,0.0,5.59766E-04,-3.10896E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.15873E-05
11,45,-1,10,12,0,0.0,0.0,4.43801E-04,-2.87515E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.07883E-05
12,33,-1,11,13,0,0.0,0.0,3.37368E-04,-2.57164E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.73113E-06
13,69,-1,12,14,0,0.0,0.0,2.42330E-04,-2.20094E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.48650E-06
14,67,-1,13,15,0,0.0,0.0,1.60658E-04,-1.76464E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.11531E-06
15,63,-1,14,16,0,0.0,0.0,9.44751E-05,-1.26491E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.24523E-06
16,65,-1,15,17,0,0.0,0.0,4.42253E-05,-7.01795E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.76446E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,4.42253E-05,7.01795E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.76446E-06
25,-1,70,26,24,0,0.0,0.0,9.44751E-05,1.26491E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.24523E-06
26,-1,75,27,25,0,0.0,0.0,1.60658E-04,1.76464E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.11531E-06
27,-1,74,28,26,0,0.0,0.0,2.42330E-04,2.20094E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.48650E-06
28,-1,37,29,27,0,0.0,0.0,3.37368E-04,2.57164E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.73113E-06
29,-1,52,30,28,0,0.0,0.0,4.43801E-04,2.87515E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.07883E-05
30,-1,50,31,29,0,0.0,0.0,5.59766E-04,3.10896E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.15873E-05
31,-1,55,32,30,0,0.0,0.0,6.81584E-04,3.25357E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.16793E-05
32,-1,54,1,31,0,0.0,0.0,8.02970E-04,3.30967E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.15992E-05
33,34,12,45,69,0,0.0,0.0,3.28949E-04,-1.63049E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.62247E-06
34,35,33,44,68,0,0.0,0.0,3.23838E-04,-7.89187E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.27501E-06
