Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,8.94137E-05,-2.16701E-19,8.96321E-05,-1.58791E-05,7.04807E-05,-1.45108E-05,7.02259E-05,-1.95457E-19,5.74697E-02,7.23930E-04,7.23930E-04,-1.41493E-02,-1.41493E-02,-3.21029E-02,-3.21029E-02,2.36025E-07,2.36606E-08,2.36606E-08,-6.84119E-08,-6.84119E-08,-3.97465E-07,-3.97465E-07
79,38,44,34,35,7.02259E-05,-1.95457E-19,7.04807E-05,-1.45108E-05,5.27271E-05,-1.28495E-05,5.24556E-05,-1.78493E-19,5.97277E-02,3.22295E-04,3.22295E-04,-1.73473E-02,-1.73473E-02,-3.29685E-02,-3.29685E-02,2.44711E-07,2.63166E-08,2.63166E-08,-8.30667E-08,-8.30667E-08,-4.08182E-07,-4.08182E-07
80,11,45,43,10,7.22593E-05,-4.68130E-05,7.11595E-05,-2.98361E-05,9.02514E-05,-3.24089E-05,9.11408E-05,-5.06199E-05,6.99349E-02,8.67967E-04,8.67967E-04,-6.67277E-02,-6.67277E-02,-1.12492E-02,-1.12492E-02,2.64929E-07,9.94585E-08,9.94585E-08,-3.18991E-07,-3.18991E-07,-1.39276E-07,-1.39276E-07
81,45,44,42,43,7.11595E-05,-2.98361E-05,7.04807E-05,-1.45108E-05,8.96321E-05,-1.58791E-05,9.02514E-05,-3.24089E-05,6.10954E-02,1.33588E-03,1.33588E-03,-4.09809E-02,-4.09809E-02,-2.57985E-02,-2.57985E-02,2.42533E-07,6.49054E-08,6.49054E-08,-1.97055E-07,-1.97055E-07,-3.19410E-07,-3.19410E-07
82,12,33,45,11,5.49301E-05,-4.18713E-05,5.35593E-05,-2.65475E-05,7.11595E-05,-2.98361E-05,7.22593E-05,-4.68130E-05,8.83560E-02,1.86852E-05,1.86852E-05,-8.64121E-02,-8.64121E-02,-1.06162E-02,-1.06162E-02,3.32263E-07,1.23535E-07,1.23535E-07,-4.11513E-07,-4.11513E-07,-1.31438E-07,-1.31438E-07
83,33,34,44,45,5.35593E-05,-2.65475E-05,5.27271E-05,-1.28495E-05,7.04807E-05,-1.45108E-05,7.11595E-05,-2.98361E-05,6.83262E-02,2.99754E-04,2.99754E-04,-5.18842E-02,-5.18842E-02,-2.55660E-02,-2.55660E-02,2.67335E-07,7.55476E-08,7.55476E-08,-2.47496E-07,-2.47496E-07,-3.16532E-07,-3.16532E-07
84,4,5,46,41,1.58042E-04,-2.62547E-19,1.51386E-04,-1.85032E-05,1.31239E-04,-1.85052E-05,1.30131E-04,-2.37098E-19,9.59754E-02,-6.40135E-02,-6.40135E-02,-1.91827E-02,-1.91827E-02,-4.46226E-02,-4.46226E-02,3.68727E-07,-2.77422E-07,-2.77422E-07,1.01652E-10,1.01652E-10,-5.52470E-07,-5.52470E-07
85,41,46,47,40,1.30131E-04,-2.37098E-19,1.31239E-04,-1.85052E-05,1.09766E-04,-1.70411E-05,1.09575E-04,-2.27373E-19,4.93071E-02,9.90805E-03,9.90805E-03,-1.24007E-02,-1.24007E-02,-2.61813E-02,-2.61813E-02,2.03443E-07,6.48964E-08,6.48964E-08,-7.32052E-08,-7.32052E-08,-3.24149E-07,-3.24149E-07
86,40,47,42,39,1.09575E-04,-2.27373E-19,1.09766E-04,-1.70411E-05,8.96321E-05,-1.58791E-05,8.94137E-05,-2.16701E-19,5.30458E-02,6.93937E-04,6.93937E-04,-1.19931E-02,-1.19931E-02,-2.97838E-02,-2.97838E-02,2.18036E-07,2.04375E-08,2.04375E-08,-5.81015E-08,-5.81015E-08,-3.68752E-07,-3.68752E-07
87,8,48,6,7,1.30739E-04,-5.38878E-05,1.30838E-04,-3.55059E-05,1.49801E-04,-3.56875E-05,1.49641E-04,-5.40214E-05,9.12396E-03,-4.07527E-03,-4.07527E-03,-4.53165E-03,-4.53165E-03,-4.63935E-03,-4.63935E-03,3.45526E-08,-1.29323E-08,-1.29323E-08,-1.57575E-08,-1.57575E-08,-5.74396E-08,-5.74396E-08
