Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,6.71625E-05,-1.66299E-19,6.73265E-05,-1.19275E-05,5.29411E-05,-1.08997E-05,5.27497E-05,-1.50780E-19,4.31680E-02,5.43775E-04,5.43775E-04,-1.06282E-02,-1.06282E-02,-2.41139E-02,-2.41139E-02,1.77288E-07,1.77725E-08,1.77725E-08,-5.13871E-08,-5.13871E-08,-2.98553E-07,-2.98553E-07
79,38,44,34,35,5.27497E-05,-1.50780E-19,5.29411E-05,-1.08997E-05,3.96056E-05,-9.65181E-06,3.94016E-05,-1.32115E-19,4.48640E-02,2.42089E-04,2.42089E-04,-1.30303E-02,-1.30303E-02,-2.47641E-02,-2.47641E-02,1.83813E-07,1.97675E-08,1.97675E-08,-6.23950E-08,-6.23950E-08,-3.06603E-07,-3.06603E-07
80,11,45,43,10,5.42771E-05,-3.51632E-05,5.34509E-05,-2.24112E-05,6.77917E-05,-2.43438E-05,6.84597E-05,-3.80228E-05,5.25311E-02,6.51967E-04,6.51967E-04,-5.01221E-02,-5.01221E-02,-8.44979E-03,-8.44979E-03,1.99000E-07,7.47076E-08,7.47076E-08,-2.39608E-07,-2.39608E-07,-1.04616E-07,-1.04616E-07
81,45,44,42,43,5.34509E-05,-2.24112E-05,5.29411E-05,-1.08997E-05,6.73265E-05,-1.19275E-05,6.77917E-05,-2.43438E-05,4.58914E-02,1.00344E-03,1.00344E-03,-3.07825E-02,-3.07825E-02,-1.93784E-02,-1.93784E-02,1.82177E-07,4.87533E-08,4.87533E-08,-1.48017E-07,-1.48017E-07,-2.39923E-07,-2.39923E-07
82,12,33,45,11,4.12604E-05,-3.14513E-05,4.02307E-05,-1.99410E-05,5.34509E-05,-2.24112E-05,5.42771E-05,-3.51632E-05,6.63680E-02,1.40352E-05,1.40352E-05,-6.49079E-02,-6.49079E-02,-7.97426E-03,-7.97426E-03,2.49577E-07,9.27923E-08,9.27923E-08,-3.09105E-07,-3.09105E-07,-9.87289E-08,-9.87289E-08
83,33,34,44,45,4.02307E-05,-1.99410E-05,3.96056E-05,-9.65181E-06,5.29411E-05,-1.08997E-05,5.34509E-05,-2.24112E-05,5.13228E-02,2.25159E-04,2.25159E-04,-3.89724E-02,-3.89724E-02,-1.92037E-02,-1.92037E-02,2.00807E-07,5.67471E-08,5.67471E-08,-1.85905E-07,-1.85905E-07,-2.37760E-07,-2.37760E-07
84,4,5,46,41,1.18712E-04,-1.97210E-19,1.13713E-04,-1.38985E-05,9.85792E-05,-1.39001E-05,9.77473E-05,-1.78095E-19,7.20913E-02,-4.80833E-02,-4.80833E-02,-1.44090E-02,-1.44090E-02,-3.35179E-02,-3.35179E-02,2.76967E-07,-2.08384E-07,-2.08384E-07,7.63552E-11,7.63552E-11,-4.14984E-07,-4.14984E-07
85,41,46,47,40,9.77473E-05,-1.78095E-19,9.85792E-05,-1.39001E-05,8.24497E-05,-1.28003E-05,8.23067E-05,-1.70789E-19,3.70367E-02,7.44236E-03,7.44236E-03,-9.31469E-03,-9.31469E-03,-1.96659E-02,-1.96659E-02,1.52815E-07,4.87465E-08,4.87465E-08,-5.49876E-08,-5.49876E-08,-2.43482E-07,-2.43482E-07
86,40,47,42,39,8.23067E-05,-1.70789E-19,8.24497E-05,-1.28003E-05,6.73265E-05,-1.19275E-05,6.71625E-05,-1.66299E-19,3.98450E-02,5.21246E-04,5.21246E-04,-9.00855E-03,-9.00855E-03,-2.23719E-02,-2.23719E-02,1.63776E-07,1.53515E-08,1.53515E-08,-4.36425E-08,-4.36425E-08,-2.76985E-07,-2.76985E-07
87,8,48,6,7,9.82037E-05,-4.04775E-05,9.82780E-05,-2.66700E-05,1.12522E-04,-2.68064E-05,1.12402E-04,-4.05778E-05,6.85340E-03,-3.06111E-03,-3.06111E-03,-3.40392E-03,-3.40392E-03,-3.48482E-03,-3.48482E-03,2.59540E-08,-9.71397E-09,-9.71397E-09,-1.18361E-08,-1.18361E-08,-4.31453E-08,-4.31453E-08
