Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,2.13702E-04,7.71480E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.64480E-06
2,1,3,-1,54,0,0.0,0.0,2.13930E-04,5.09653E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.63243E-06
3,2,4,-1,56,0,0.0,0.0,2.16195E-04,2.64244E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.50421E-06
4,3,5,-1,41,0,1.9750835669723816,0.0,2.25700E-04,-3.74943E-19,0.00000E+00,0.00000E+00,0.00000E+00,-3.73420E-06
5,4,6,-1,46,0,0.0,0.0,2.16195E-04,-2.64244E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.50421E-06
6,5,7,-1,48,0,0.0,0.0,2.13930E-04,-5.09653E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.63243E-06
7,6,-1,-1,8,0,0.0,0.0,2.13702E-04,-7.71480E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.64480E-06
8,48,-1,7,9,0,0.0,0.0,1.86709E-04,-7.69573E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.69707E-06
9,49,-1,8,10,0,0.0,0.0,1.58484E-04,-7.56528E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.71570E-06
10,43,-1,9,11,0,0.0,0.0,1.30158E-04,-7.22903E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.69430E-06
11,45,-1,10,12,0,0.0,0.0,1.03194E-04,-6.68536E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.50852E-06
12,33,-1,11,13,0,0.0,0.0,7.84458E-05,-5.97964E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.26271E-06
13,69,-1,12,14,0,0.0,0.0,5.63471E-05,-5.11767E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.97330E-06
14,67,-1,13,15,0,0.0,0.0,3.73567E-05,-4.10318E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.65447E-06
15,63,-1,14,16,0,0.0,0.0,2.19676E-05,-2.94121E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.21963E-06
16,65,-1,15,17,0,0.0,0.0,1.02834E-05,-1.63183E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.10785E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
