Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-2.70318E-04,-9.75865E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.34548E-06
2,1,3,-1,54,0,0.0,0.0,-2.70606E-04,-6.44674E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.32983E-06
3,2,4,-1,56,0,0.0,0.0,-2.73470E-04,-3.34249E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.16764E-06
4,3,5,-1,41,0,-2.498333991854052,0.0,-2.85494E-04,4.74276E-19,0.00000E+00,0.00000E+00,0.00000E+00,4.72348E-06
5,4,6,-1,46,0,0.0,0.0,-2.73470E-04,3.34249E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.16764E-06
6,5,7,-1,48,0,0.0,0.0,-2.70606E-04,6.44674E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.32983E-06
7,6,-1,-1,8,0,0.0,0.0,-2.70318E-04,9.75865E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.34548E-06
8,48,-1,7,9,0,0.0,0.0,-2.36172E-04,9.73452E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.41159E-06
9,49,-1,8,10,0,0.0,0.0,-2.00470E-04,9.56951E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.43515E-06
10,43,-1,9,11,0,0.0,0.0,-1.64640E-04,9.14419E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.40809E-06
11,45,-1,10,12,0,0.0,0.0,-1.30532E-04,8.45649E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.17309E-06
12,33,-1,11,13,0,0.0,0.0,-9.92280E-05,7.56380E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.86216E-06
13,69,-1,12,14,0,0.0,0.0,-7.12749E-05,6.47347E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.49608E-06
14,67,-1,13,15,0,0.0,0.0,-4.72534E-05,5.19022E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.09278E-06
15,63,-1,14,16,0,0.0,0.0,-2.77874E-05,3.72041E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.54275E-06
16,65,-1,15,17,0,0.0,0.0,-1.30077E-05,2.06415E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.40134E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-1.30077E-05,-2.06415E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.40134E-06
25,-1,70,26,24,0,0.0,0.0,-2.77874E-05,-3.72041E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.54275E-06
26,-1,75,27,25,0,0.0,0.0,-4.72534E-05,-5.19022E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.09278E-06
27,-1,74,28,26,0,0.0,0.0,-7.12749E-05,-6.47347E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.49608E-06
28,-1,37,29,27,0,0.0,0.0,-9.92280E-05,-7.56380E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.86216E-06
29,-1,52,30,28,0,0.0,0.0,-1.30532E-04,-8.45649E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.17309E-06
30,-1,50,31,29,0,0.0,0.0,-1.64640E-04,-9.14419E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.40809E-06
31,-1,55,32,30,0,0.0,0.0,-2.00470E-04,-9.56951E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.43515E-06
32,-1,54,1,31,0,0.0,0.0,-2.36172E-04,-9.73452E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.41159E-06
33,34,12,45,69,0,0.0,0.0,-9.67517E-05,4.79565E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.83020E-06
34,35,33,44,68,0,0.0,0.0,-9.52484E-05,2.32119E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.72800E-06
35,36,34,38,61,0,0.0,0.0,-9.47580E-05,3.24864E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.69565E-06
36,37,35,53,76,0,0.0,0.0,-9.52484E-05,-2.32119E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.72800E-06
37,28,36,52,74,0,0.0,0.0,-9.67517E-05,-4.79565E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.83020E-06
38,53,44,39,35,0,0.0,0.0,-1.26859E-04,3.65340E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.97406E-06
39,51,42,40,38,0,0.0,0.0,-1.61521E-04,3.95848E-19,0.00000E+00,0.00000E+00,0.00000E+00,3.25739E-06
40,57,47,41,39,0,0.0,0.0,-1.97941E-04,4.10736E-19,0.00000E+00,0.00000E+00,0.00000E+00,3.24043E-06
