Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,9.30583E-06,-2.29246E-20,9.32856E-06,-1.65263E-06,7.33536E-06,-1.51023E-06,7.30884E-06,-2.07359E-20,5.98122E-03,7.53439E-05,7.53439E-05,-1.47261E-03,-1.47261E-03,-3.34115E-03,-3.34115E-03,2.45645E-08,2.46250E-09,2.46250E-09,-7.12004E-09,-7.12004E-09,-4.13666E-08,-4.13666E-08
79,38,44,34,35,7.30884E-06,-2.07359E-20,7.33536E-06,-1.51023E-06,5.48763E-06,-1.33733E-06,5.45937E-06,-1.84280E-20,6.21622E-03,3.35432E-05,3.35432E-05,-1.80544E-03,-1.80544E-03,-3.43123E-03,-3.43123E-03,2.54686E-08,2.73893E-09,2.73893E-09,-8.64526E-09,-8.64526E-09,-4.24820E-08,-4.24820E-08
80,11,45,43,10,7.52047E-06,-4.87211E-06,7.40600E-06,-3.10522E-06,9.39302E-06,-3.37300E-06,9.48557E-06,-5.26832E-06,7.27856E-03,9.03346E-05,9.03346E-05,-6.94476E-03,-6.94476E-03,-1.17078E-03,-1.17078E-03,2.75728E-08,1.03513E-08,1.03513E-08,-3.31993E-08,-3.31993E-08,-1.44953E-08,-1.44953E-08
81,45,44,42,43,7.40600E-06,-3.10522E-06,7.33536E-06,-1.51023E-06,9.32856E-06,-1.65263E-06,9.39302E-06,-3.37300E-06,6.35857E-03,1.39034E-04,1.39034E-04,-4.26513E-03,-4.26513E-03,-2.68501E-03,-2.68501E-03,2.52419E-08,6.75511E-09,6.75511E-09,-2.05088E-08,-2.05088E-08,-3.32430E-08,-3.32430E-08
82,12,33,45,11,5.71691E-06,-4.35780E-06,5.57424E-06,-2.76296E-06,7.40600E-06,-3.10522E-06,7.52047E-06,-4.87211E-06,9.19574E-03,1.94468E-06,1.94468E-06,-8.99343E-03,-8.99343E-03,-1.10489E-03,-1.10489E-03,3.45806E-08,1.28570E-08,1.28570E-08,-4.28287E-08,-4.28287E-08,-1.36796E-08,-1.36796E-08
83,33,34,44,45,5.57424E-06,-2.76296E-06,5.48763E-06,-1.33733E-06,7.33536E-06,-1.51023E-06,7.40600E-06,-3.10522E-06,7.11112E-03,3.11973E-05,3.11973E-05,-5.39990E-03,-5.39990E-03,-2.66081E-03,-2.66081E-03,2.78232E-08,7.86270E-09,7.86270E-09,-2.57584E-08,-2.57584E-08,-3.29434E-08,-3.29434E-08
84,4,5,46,41,1.64484E-05,-2.73248E-20,1.57557E-05,-1.92574E-06,1.36588E-05,-1.92595E-06,1.35436E-05,-2.46763E-20,9.98875E-03,-6.66228E-03,-6.66228E-03,-1.99646E-03,-1.99646E-03,-4.64414E-03,-4.64414E-03,3.83756E-08,-2.88730E-08,-2.88730E-08,1.05795E-11,1.05795E-11,-5.74989E-08,-5.74989E-08
85,41,46,47,40,1.35436E-05,-2.46763E-20,1.36588E-05,-1.92595E-06,1.14240E-05,-1.77357E-06,1.14042E-05,-2.36641E-20,5.13169E-03,1.03119E-03,1.03119E-03,-1.29062E-03,-1.29062E-03,-2.72484E-03,-2.72484E-03,2.11736E-08,6.75417E-09,6.75417E-09,-7.61892E-09,-7.61892E-09,-3.37361E-08,-3.37361E-08
86,40,47,42,39,1.14042E-05,-2.36641E-20,1.14240E-05,-1.77357E-06,9.32856E-06,-1.65263E-06,9.30583E-06,-2.29246E-20,5.52080E-03,7.22222E-05,7.22222E-05,-1.24820E-03,-1.24820E-03,-3.09978E-03,-3.09978E-03,2.26923E-08,2.12706E-09,2.12706E-09,-6.04697E-09,-6.04697E-09,-3.83782E-08,-3.83782E-08
87,8,48,6,7,1.36068E-05,-5.60843E-06,1.36171E-05,-3.69532E-06,1.55907E-05,-3.71421E-06,1.55740E-05,-5.62234E-06,9.49586E-04,-4.24138E-04,-4.24138E-04,-4.71637E-04,-4.71637E-04,-4.82845E-04,-4.82845E-04,3.59610E-09,-1.34594E-09,-1.34594E-09,-1.63998E-09,-1.63998E-09,-5.97809E-09,-5.97809E-09
