Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,-4.17314E-04,1.03673E-18,-4.18333E-04,7.41112E-05,-3.28949E-04,6.77253E-05,-3.27760E-04,9.40080E-19,2.68224E-01,-3.37875E-03,-3.37875E-03,6.60380E-02,6.60380E-02,1.49832E-01,1.49832E-01,1.10158E-06,-1.10429E-07,-1.10429E-07,3.19293E-07,3.19293E-07,1.85506E-06,1.85506E-06
79,38,44,34,35,-3.27760E-04,9.40080E-19,-3.28949E-04,6.77253E-05,-2.46089E-04,5.99715E-05,-2.44822E-04,8.49398E-19,2.78762E-01,-1.50422E-03,-1.50422E-03,8.09638E-02,8.09638E-02,1.53871E-01,1.53871E-01,1.14212E-06,-1.22826E-07,-1.22826E-07,3.87691E-07,3.87691E-07,1.90508E-06,1.90508E-06
80,11,45,43,10,-3.37250E-04,2.18487E-04,-3.32117E-04,1.39252E-04,-4.21224E-04,1.51260E-04,-4.25374E-04,2.36254E-04,3.26402E-01,-4.05100E-03,-4.05100E-03,3.11433E-01,3.11433E-01,5.25028E-02,5.25028E-02,1.23648E-06,-4.64195E-07,-4.64195E-07,1.48880E-06,1.48880E-06,6.50034E-07,6.50034E-07
81,45,44,42,43,-3.32117E-04,1.39252E-04,-3.28949E-04,6.77253E-05,-4.18333E-04,7.41112E-05,-4.21224E-04,1.51260E-04,2.85146E-01,-6.23487E-03,-6.23487E-03,1.91267E-01,1.91267E-01,1.20407E-01,1.20407E-01,1.13196E-06,-3.02928E-07,-3.02928E-07,9.19702E-07,9.19702E-07,1.49076E-06,1.49076E-06
82,12,33,45,11,-2.56371E-04,1.95423E-04,-2.49973E-04,1.23903E-04,-3.32117E-04,1.39252E-04,-3.37250E-04,2.18487E-04,4.12377E-01,-8.72078E-05,-8.72078E-05,4.03305E-01,4.03305E-01,4.95480E-02,4.95480E-02,1.55075E-06,-5.76565E-07,-5.76565E-07,1.92062E-06,1.92062E-06,6.13451E-07,6.13451E-07
83,33,34,44,45,-2.49973E-04,1.23903E-04,-2.46089E-04,5.99715E-05,-3.28949E-04,6.77253E-05,-3.32117E-04,1.39252E-04,3.18894E-01,-1.39902E-03,-1.39902E-03,2.42155E-01,2.42155E-01,1.19322E-01,1.19322E-01,1.24771E-06,-3.52598E-07,-3.52598E-07,1.15512E-06,1.15512E-06,1.47732E-06,1.47732E-06
84,4,5,46,41,-7.37617E-04,1.22536E-18,-7.06552E-04,8.63584E-05,-6.12521E-04,8.63679E-05,-6.07352E-04,1.10659E-18,4.47939E-01,2.98765E-01,2.98765E-01,8.95300E-02,8.95300E-02,2.08264E-01,2.08264E-01,1.72093E-06,1.29479E-06,1.29479E-06,-4.74433E-10,-4.74433E-10,2.57850E-06,2.57850E-06
85,41,46,47,40,-6.07352E-04,1.10659E-18,-6.12521E-04,8.63679E-05,-5.12301E-04,7.95346E-05,-5.11412E-04,1.06120E-18,2.30127E-01,-4.62431E-02,-4.62431E-02,5.78768E-02,5.78768E-02,1.22194E-01,1.22194E-01,9.49516E-07,-3.02886E-07,-3.02886E-07,3.41665E-07,3.41665E-07,1.51288E-06,1.51288E-06
86,40,47,42,39,-5.11412E-04,1.06120E-18,-5.12301E-04,7.95346E-05,-4.18333E-04,7.41112E-05,-4.17314E-04,1.03673E-18,2.47577E-01,-3.23876E-03,-3.23876E-03,5.59746E-02,5.59746E-02,1.39008E-01,1.39008E-01,1.01762E-06,-9.53864E-08,-9.53864E-08,2.71173E-07,2.71173E-07,1.72105E-06,1.72105E-06
87,8,48,6,7,-6.10188E-04,2.51506E-04,-6.10650E-04,1.65714E-04,-6.99153E-04,1.66561E-04,-6.98408E-04,2.52130E-04,4.25836E-02,1.90202E-02,1.90202E-02,2.11502E-02,2.11502E-02,2.16529E-02,2.16529E-02,1.61265E-07,6.03577E-08,6.03577E-08,7.35438E-08,7.35438E-08,2.68083E-07,2.68083E-07
88,48,46,5,6,-6.10650E-04,1.65714E-04,-6.12521E-04,8.63679E-05,-7.06552E-04,8.63584E-05,-6.99153E-04,1.66561E-04,1.87289E-01,1.09871E-01,1.09871E-01,4.17594E-02,4.17594E-02,9.28253E-02,9.28253E-02,7.26579E-07,4.63540E-07,4.63540E-07,4.18955E-08,4.18955E-08,1.14927E-06,1.14927E-06
89,10,43,49,9,-4.25374E-04,2.36254E-04,-4.21224E-04,1.51260E-04,-5.15628E-04,1.60729E-04,-5.17945E-04,2.47243E-04,2.41217E-01,-3.80973E-03,-3.80973E-03,2.13666E-01,2.13666E-01,6.24607E-02,6.24607E-02,9.26211E-07,-3.23378E-07,-3.23378E-07,1.02290E-06,1.02290E-06,7.73323E-07,7.73323E-07
90,9,49,48,8,-5.17945E-04,2.47243E-04,-5.15628E-04,1.60729E-04,-6.10650E-04,1.65714E-04,-6.10188E-04,2.51506E-04,1.41612E-01,1.06049E-02,1.06049E-02,1.00289E-01,1.00289E-01,6.04075E-02,6.04075E-02,5.51706E-07,-9.27703E-08,-9.27703E-08,4.62417E-07,4.62417E-07,7.47903E-07,7.47903E-07
91,43,42,47,49,-4.21224E-04,1.51260E-04,-4.18333E-04,7.41112E-05,-5.12301E-04,7.95346E-05,-5.15628E-04,1.60729E-04,2.64876E-01,-2.01928E-02,-2.01928E-02,1.50315E-01,1.50315E-01,1.21273E-01,1.21273E-01,1.06947E-06,-3.10892E-07,-3.10892E-07,7.44632E-07,7.44632E-07,1.50148E-06,1.50148E-06
