Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,4.22167E-04,-1.04093E-18,4.23198E-04,-7.49730E-05,3.32775E-04,-6.85128E-05,3.31571E-04,-9.04326E-19,2.71343E-01,3.41804E-03,3.41804E-03,-6.68059E-02,-6.68059E-02,-1.51574E-01,-1.51574E-01,1.11439E-06,1.11713E-07,1.11713E-07,-3.23006E-07,-3.23006E-07,-1.87663E-06,-1.87663E-06
79,38,44,34,35,3.31571E-04,-9.04326E-19,3.32775E-04,-6.85128E-05,2.48951E-04,-6.06689E-05,2.47669E-04,-8.19765E-19,2.82004E-01,1.52171E-03,1.52171E-03,-8.19053E-02,-8.19053E-02,-1.55661E-01,-1.55661E-01,1.15540E-06,1.24254E-07,1.24254E-07,-3.92199E-07,-3.92199E-07,-1.92723E-06,-1.92723E-06
80,11,45,43,10,3.41172E-04,-2.21027E-04,3.35979E-04,-1.40871E-04,4.26122E-04,-1.53019E-04,4.30321E-04,-2.39002E-04,3.30198E-01,4.09810E-03,4.09810E-03,-3.15055E-01,-3.15055E-01,-5.31133E-02,-5.31133E-02,1.25086E-06,4.69593E-07,4.69593E-07,-1.50611E-06,-1.50611E-06,-6.57593E-07,-6.57593E-07
81,45,44,42,43,3.35979E-04,-1.40871E-04,3.32775E-04,-6.85128E-05,4.23198E-04,-7.49730E-05,4.26122E-04,-1.53019E-04,2.88462E-01,6.30737E-03,6.30737E-03,-1.93491E-01,-1.93491E-01,-1.21808E-01,-1.21808E-01,1.14512E-06,3.06451E-07,3.06451E-07,-9.30396E-07,-9.30396E-07,-1.50809E-06,-1.50809E-06
82,12,33,45,11,2.59352E-04,-1.97695E-04,2.52880E-04,-1.25344E-04,3.35979E-04,-1.40871E-04,3.41172E-04,-2.21027E-04,4.17172E-01,8.82219E-05,8.82219E-05,-4.07994E-01,-4.07994E-01,-5.01242E-02,-5.01242E-02,1.56878E-06,5.83269E-07,5.83269E-07,-1.94296E-06,-1.94296E-06,-6.20585E-07,-6.20585E-07
83,33,34,44,45,2.52880E-04,-1.25344E-04,2.48951E-04,-6.06689E-05,3.32775E-04,-6.85128E-05,3.35979E-04,-1.40871E-04,3.22602E-01,1.41529E-03,1.41529E-03,-2.44971E-01,-2.44971E-01,-1.20710E-01,-1.20710E-01,1.26222E-06,3.56698E-07,3.56698E-07,-1.16855E-06,-1.16855E-06,-1.49450E-06,-1.49450E-06
84,4,5,46,41,7.46195E-04,-1.23961E-18,7.14769E-04,-8.73626E-05,6.19644E-04,-8.73722E-05,6.14415E-04,-1.11946E-18,4.53148E-01,-3.02240E-01,-3.02240E-01,-9.05711E-02,-9.05711E-02,-2.10685E-01,-2.10685E-01,1.74094E-06,-1.30985E-06,-1.30985E-06,4.79950E-10,4.79950E-10,-2.60849E-06,-2.60849E-06
85,41,46,47,40,6.14415E-04,-1.11946E-18,6.19644E-04,-8.73722E-05,5.18258E-04,-8.04595E-05,5.17359E-04,-1.07354E-18,2.32803E-01,4.67808E-02,4.67808E-02,-5.85498E-02,-5.85498E-02,-1.23615E-01,-1.23615E-01,9.60557E-07,3.06408E-07,3.06408E-07,-3.45638E-07,-3.45638E-07,-1.53047E-06,-1.53047E-06
86,40,47,42,39,5.17359E-04,-1.07354E-18,5.18258E-04,-8.04595E-05,4.23198E-04,-7.49730E-05,4.22167E-04,-1.04093E-18,2.50456E-01,3.27642E-03,3.27642E-03,-5.66255E-02,-5.66255E-02,-1.40624E-01,-1.40624E-01,1.02946E-06,9.64956E-08,9.64956E-08,-2.74326E-07,-2.74326E-07,-1.74106E-06,-1.74106E-06
87,8,48,6,7,6.17284E-04,-2.54431E-04,6.17751E-04,-1.67641E-04,7.07283E-04,-1.68498E-04,7.06529E-04,-2.55062E-04,4.30788E-02,-1.92414E-02,-1.92414E-02,-2.13962E-02,-2.13962E-02,-2.19047E-02,-2.19047E-02,1.63140E-07,-6.10596E-08,-6.10596E-08,-7.43990E-08,-7.43990E-08,-2.71201E-07,-2.71201E-07
88,48,46,5,6,6.17751E-04,-1.67641E-04,6.19644E-04,-8.73722E-05,7.14769E-04,-8.73626E-05,7.07283E-04,-1.68498E-04,1.89466E-01,-1.11149E-01,-1.11149E-01,-4.22450E-02,-4.22450E-02,-9.39047E-02,-9.39047E-02,7.35028E-07,-4.68930E-07,-4.68930E-07,-4.23827E-08,-4.23827E-08,-1.16263E-06,-1.16263E-06
89,10,43,49,9,4.30321E-04,-2.39002E-04,4.26122E-04,-1.53019E-04,5.21624E-04,-1.62598E-04,5.23968E-04,-2.50118E-04,2.44022E-01,3.85403E-03,3.85403E-03,-2.16150E-01,-2.16150E-01,-6.31870E-02,-6.31870E-02,9.36981E-07,3.27139E-07,3.27139E-07,-1.03479E-06,-1.03479E-06,-7.82316E-07,-7.82316E-07
90,9,49,48,8,5.23968E-04,-2.50118E-04,5.21624E-04,-1.62598E-04,6.17751E-04,-1.67641E-04,6.17284E-04,-2.54431E-04,1.43259E-01,-1.07283E-02,-1.07283E-02,-1.01455E-01,-1.01455E-01,-6.11100E-02,-6.11100E-02,5.58121E-07,9.38491E-08,9.38491E-08,-4.67794E-07,-4.67794E-07,-7.56600E-07,-7.56600E-07
91,43,42,47,49,4.26122E-04,-1.53019E-04,4.23198E-04,-7.49730E-05,5.18258E-04,-8.04595E-05,5.21624E-04,-1.62598E-04,2.67956E-01,2.04276E-02,2.04276E-02,-1.52063E-01,-1.52063E-01,-1.22684E-01,-1.22684E-01,1.08190E-06,3.14507E-07,3.14507E-07,-7.53291E-07,-7.53291E-07,-1.51894E-06,-1.51894E-06
92,49,47,46,48,5.21624E-04,-1.62598E-04,5.18258E-04,-8.04595E-05,6.19644E-04,-8.73722E-05,6.17751E-04,-1.67641E-04,2.74410E-01,-2.43946E-02,-2.43946E-02,-1.32854E-01,-1.32854E-01,-1.41770E-01,-1.41770E-01,1.09898E-06,7.36275E-08,7.36275E-08,-5.97791E-07,-5.97791E-07,-1.75525E-06,-1.75525E-06
93,30,50,52,29,4.30321E-04,2.39002E-04,4.26122E-04,1.53019E-04,3.35979E-04,1.40871E-04,3.41172E-04,2.21027E-04,3.30198E-01,-4.09810E-03,-4.09810E-03,3.15055E-01,3.15055E-01,-5.31133E-02,-5.31133E-02,1.25086E-06,-4.69593E-07,-4.69593E-07,1.50611E-06,1.50611E-06,-6.57593E-07,-6.57593E-07
94,29,52,37,28,3.41172E-04,2.21027E-04,3.35979E-04,1.40871E-04,2.52880E-04,1.25344E-04,2.59352E-04,1.97695E-04,4.17172E-01,-8.82219E-05,-8.82219E-05,4.07994E-01,4.07994E-01,-5.01242E-02,-5.01242E-02,1.56878E-06,-5.83269E-07,-5.83269E-07,1.94296E-06,1.94296E-06,-6.20585E-07,-6.20585E-07
95,38,53,51,39,3.31571E-04,-9.04326E-19,3.32775E-04,6.85128E-05,4.23198E-04,7.49730E-05,4.22167E-04,-1.04093E-18,2.88462E-01,-6.30737E-03,-6.30737E-03,1.93491E-01,1.93491E-01,-1.21808E-01,-1.21808E-01,1.14512E-06,-3.06451E-07,-3.06451E-07,9.30396E-07,9.30396E-07,-1.50809E-06,-1.50809E-06
96,53,52,50,51,3.32775E-04,6.85128E-05,3.35979E-04,1.40871E-04,4.26122E-04,1.53019E-04,4.23198E-04,7.49730E-05,3.22602E-01,-1.41529E-03,-1.41529E-03,2.44971E-01,2.44971E-01,-1.20710E-01,-1.20710E-01,1.26222E-06,-3.56698E-07,-3.56698E-07,1.16855E-06,1.16855E-06,-1.49450E-06,-1.49450E-06
97,35,36,53,38,2.47669E-04,-8.19765E-19,2.48951E-04,6.06689E-05,3.32775E-04,6.85128E-05,3.31571E-04,-9.04326E-19,2.71343E-01,-3.41804E-03,-3.41804E-03,6.68059E-02,6.68059E-02,-1.51574E-01,-1.51574E-01,1.11439E-06,-1.11713E-07,-1.11713E-07,3.23006E-07,3.23006E-07,-1.87663E-06,-1.87663E-06
