Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,5.74462E-04,2.07385E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.10961E-06
2,1,3,-1,54,0,0.0,0.0,5.75076E-04,1.37002E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.07635E-06
3,2,4,-1,56,0,0.0,0.0,5.81162E-04,7.10326E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.73167E-06
4,3,5,-1,41,0,5.309307156272041,0.0,6.06714E-04,-1.00790E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.00381E-05
5,4,6,-1,46,0,0.0,0.0,5.81162E-04,-7.10326E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.73167E-06
6,5,7,-1,48,0,0.0,0.0,5.75076E-04,-1.37002E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.07635E-06
7,6,-1,-1,8,0,0.0,0.0,5.74462E-04,-2.07385E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.10961E-06
8,48,-1,7,9,0,0.0,0.0,5.01899E-04,-2.06872E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.25010E-06
9,49,-1,8,10,0,0.0,0.0,4.26026E-04,-2.03365E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.30018E-06
10,43,-1,9,11,0,0.0,0.0,3.49884E-04,-1.94327E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.24267E-06
11,45,-1,10,12,0,0.0,0.0,2.77399E-04,-1.79712E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.74327E-06
12,33,-1,11,13,0,0.0,0.0,2.10873E-04,-1.60741E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.08248E-06
13,69,-1,12,14,0,0.0,0.0,1.51469E-04,-1.37570E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.30452E-06
14,67,-1,13,15,0,0.0,0.0,1.00420E-04,-1.10299E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.44745E-06
15,63,-1,14,16,0,0.0,0.0,5.90520E-05,-7.90640E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.27855E-06
16,65,-1,15,17,0,0.0,0.0,2.76432E-05,-4.38660E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.97805E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,2.76432E-05,4.38660E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.97805E-06
25,-1,70,26,24,0,0.0,0.0,5.90520E-05,7.90640E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.27855E-06
26,-1,75,27,25,0,0.0,0.0,1.00420E-04,1.10299E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.44745E-06
27,-1,74,28,26,0,0.0,0.0,1.51469E-04,1.37570E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.30452E-06
28,-1,37,29,27,0,0.0,0.0,2.10873E-04,1.60741E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.08248E-06
29,-1,52,30,28,0,0.0,0.0,2.77399E-04,1.79712E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.74327E-06
30,-1,50,31,29,0,0.0,0.0,3.49884E-04,1.94327E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.24267E-06
31,-1,55,32,30,0,0.0,0.0,4.26026E-04,2.03365E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.30018E-06
32,-1,54,1,31,0,0.0,0.0,5.01899E-04,2.06872E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.25010E-06
33,34,12,45,69,0,0.0,0.0,2.05611E-04,-1.01914E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.01456E-06
34,35,33,44,68,0,0.0,0.0,2.02416E-04,-4.93284E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.79738E-06
35,36,34,38,61,0,0.0,0.0,2.01374E-04,-6.91542E-19,0.00000E+00,0.00000E+00,0.00000E+00,-5.72863E-06
36,37,35,53,76,0,0.0,0.0,2.02416E-04,4.93284E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.79738E-06
37,28,36,52,74,0,0.0,0.0,2.05611E-04,1.01914E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.01456E-06
38,53,44,39,35,0,0.0,0.0,2.69593E-04,-7.59860E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.32030E-06
39,51,42,40,38,0,0.0,0.0,3.43254E-04,-8.52196E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.92241E-06
40,57,47,41,39,0,0.0,0.0,4.20653E-04,-8.72870E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.88637E-06
41,56,46,4,40,0,0.0,0.0,4.99566E-04,-9.10206E-19,0.00000E+00,0.00000E+00,0.00000E+00,-8.57099E-06
42,39,43,47,44,0,0.0,0.0,3.44092E-04,-6.09588E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.81727E-06
43,42,10,49,45,0,0.0,0.0,3.46470E-04,-1.24416E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.17623E-06
44,38,45,42,34,0,0.0,0.0,2.70571E-04,-5.57062E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.44587E-06
45,44,11,43,33,0,0.0,0.0,2.73177E-04,-1.14539E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.63691E-06
46,41,48,5,47,0,0.0,0.0,5.03818E-04,-7.10404E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.36446E-06
47,40,49,46,42,0,0.0,0.0,4.21384E-04,-6.54198E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.48933E-06
48,46,8,6,49,0,0.0,0.0,5.02279E-04,-1.36305E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.05557E-06
49,47,9,48,43,0,0.0,0.0,4.24121E-04,-1.32205E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.39730E-06
50,30,51,55,52,0,0.0,0.0,3.46470E-04,1.24416E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.17623E-06
51,50,39,57,53,0,0.0,0.0,3.44092E-04,6.09588E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.81727E-06
52,29,53,50,37,0,0.0,0.0,2.73177E-04,1.14539E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.63691E-06
53,52,38,51,36,0,0.0,0.0,2.70571E-04,5.57062E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.44587E-06
54,32,56,2,55,0,0.0,0.0,5.02279E-04,1.36305E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.05557E-06
55,31,57,54,50,0,0.0,0.0,4.24121E-04,1.32205E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.39730E-06
56,54,41,3,57,0,0.0,0.0,5.03818E-04,7.10404E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.36446E-06
57,55,40,56,51,0,0.0,0.0,4.21384E-04,6.54198E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.48933E-06
58,73,64,59,20,0,0.0,0.0,1.40464E-05,-1.26517E-19,0.00000E+00,0.00000E+00,0.00000E+00,-1.62797E-06
59,71,62,60,58,0,0.0,0.0,4.41090E-05,-2.66793E-19,0.00000E+00,0.00000E+00,0.00000E+00,-2.87348E-06
60,77,66,61,59,0,0.0,0.0,8.69452E-05,-4.17925E-19,0.00000E+00,0.00000E+00,0.00000E+00,-4.03374E-06
61,76,68,35,60,0,0.0,0.0,1.39994E-04,-5.57245E-19,0.00000E+00,0.00000E+00,0.00000E+00,-4.96809E-06
62,59,63,66,64,0,0.0,0.0,4.55323E-05,-2.15611E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.03321E-06
63,62,15,67,65,0,0.0,0.0,5.06641E-05,-4.69632E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.44048E-06
64,58,65,62,19,0,0.0,0.0,1.47743E-05,-1.05897E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.64371E-06
65,64,16,63,18,0,0.0,0.0,1.78326E-05,-2.24781E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.07476E-06
