Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,2.33202E-05,-5.63795E-20,2.33771E-05,-4.14146E-06,1.83822E-05,-3.78460E-06,1.83158E-05,-5.09752E-20,1.49888E-02,1.88810E-04,1.88810E-04,-3.69031E-03,-3.69031E-03,-8.37284E-03,-8.37284E-03,6.15582E-08,6.17097E-09,6.17097E-09,-1.78427E-08,-1.78427E-08,-1.03664E-07,-1.03664E-07
79,38,44,34,35,1.83158E-05,-5.09752E-20,1.83822E-05,-3.78460E-06,1.37519E-05,-3.35131E-06,1.36811E-05,-4.54877E-20,1.55777E-02,8.40584E-05,8.40584E-05,-4.52439E-03,-4.52439E-03,-8.59859E-03,-8.59859E-03,6.38236E-08,6.86370E-09,6.86370E-09,-2.16648E-08,-2.16648E-08,-1.06459E-07,-1.06459E-07
80,11,45,43,10,1.88461E-05,-1.22094E-05,1.85593E-05,-7.78161E-06,2.35387E-05,-8.45265E-06,2.37706E-05,-1.32023E-05,1.82399E-02,2.26376E-04,2.26376E-04,-1.74034E-02,-1.74034E-02,-2.93394E-03,-2.93394E-03,6.90968E-08,2.59400E-08,2.59400E-08,-8.31968E-08,-8.31968E-08,-3.63250E-08,-3.63250E-08
81,45,44,42,43,1.85593E-05,-7.78161E-06,1.83822E-05,-3.78460E-06,2.33771E-05,-4.14146E-06,2.35387E-05,-8.45265E-06,1.59344E-02,3.48415E-04,3.48415E-04,-1.06883E-02,-1.06883E-02,-6.72857E-03,-6.72857E-03,6.32557E-08,1.69281E-08,1.69281E-08,-5.13945E-08,-5.13945E-08,-8.33061E-08,-8.33061E-08
82,12,33,45,11,1.43264E-05,-1.09205E-05,1.39689E-05,-6.92391E-06,1.85593E-05,-7.78161E-06,1.88461E-05,-1.22094E-05,2.30443E-02,4.87332E-06,4.87332E-06,-2.25373E-02,-2.25373E-02,-2.76883E-03,-2.76883E-03,8.66582E-08,3.22194E-08,3.22194E-08,-1.07328E-07,-1.07328E-07,-3.42807E-08,-3.42807E-08
83,33,34,44,45,1.39689E-05,-6.92391E-06,1.37519E-05,-3.35131E-06,1.83822E-05,-3.78460E-06,1.85593E-05,-7.78161E-06,1.78203E-02,7.81796E-05,7.81796E-05,-1.35320E-02,-1.35320E-02,-6.66793E-03,-6.66793E-03,6.97243E-08,1.97037E-08,1.97037E-08,-6.45499E-08,-6.45499E-08,-8.25553E-08,-8.25553E-08
84,4,5,46,41,4.12193E-05,-6.84754E-20,3.94833E-05,-4.82585E-06,3.42287E-05,-4.82638E-06,3.39399E-05,-6.18381E-20,2.50316E-02,-1.66955E-02,-1.66955E-02,-5.00309E-03,-5.00309E-03,-1.16381E-02,-1.16381E-02,9.61685E-08,-7.23552E-08,-7.23552E-08,2.65121E-11,2.65121E-11,-1.44091E-07,-1.44091E-07
85,41,46,47,40,3.39399E-05,-6.18381E-20,3.42287E-05,-4.82638E-06,2.86282E-05,-4.44453E-06,2.85786E-05,-5.93016E-20,1.28599E-02,2.58414E-03,2.58414E-03,-3.23425E-03,-3.23425E-03,-6.82839E-03,-6.82839E-03,5.30605E-08,1.69258E-08,1.69258E-08,-1.90928E-08,-1.90928E-08,-8.45420E-08,-8.45420E-08
86,40,47,42,39,2.85786E-05,-5.93016E-20,2.86282E-05,-4.44453E-06,2.33771E-05,-4.14146E-06,2.33202E-05,-5.63795E-20,1.38350E-02,1.80987E-04,1.80987E-04,-3.12795E-03,-3.12795E-03,-7.76798E-03,-7.76798E-03,5.68665E-08,5.33035E-09,5.33035E-09,-1.51536E-08,-1.51536E-08,-9.61750E-08,-9.61750E-08
87,8,48,6,7,3.40983E-05,-1.40546E-05,3.41241E-05,-9.26038E-06,3.90698E-05,-9.30773E-06,3.90282E-05,-1.40894E-05,2.37964E-03,-1.06288E-03,-1.06288E-03,-1.18191E-03,-1.18191E-03,-1.21000E-03,-1.21000E-03,9.01175E-09,-3.37289E-09,-3.37289E-09,-4.10975E-09,-4.10975E-09,-1.49809E-08,-1.49809E-08
88,48,46,5,6,3.41241E-05,-9.26038E-06,3.42287E-05,-4.82638E-06,3.94833E-05,-4.82585E-06,3.90698E-05,-9.30773E-06,1.04660E-02,-6.13979E-03,-6.13979E-03,-2.33359E-03,-2.33359E-03,-5.18723E-03,-5.18723E-03,4.06024E-08,-2.59034E-08,-2.59034E-08,-2.34119E-09,-2.34119E-09,-6.42229E-08,-6.42229E-08
89,10,43,49,9,2.37706E-05,-1.32023E-05,2.35387E-05,-8.45265E-06,2.88142E-05,-8.98180E-06,2.89436E-05,-1.38164E-05,1.34796E-02,2.12894E-04,2.12894E-04,-1.19400E-02,-1.19400E-02,-3.49041E-03,-3.49041E-03,5.17582E-08,1.80709E-08,1.80709E-08,-5.71613E-08,-5.71613E-08,-4.32146E-08,-4.32146E-08
