Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-1.72836E-04,-6.23949E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.13903E-06
2,1,3,-1,54,0,0.0,0.0,-1.73020E-04,-4.12191E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.12903E-06
3,2,4,-1,56,0,0.0,0.0,-1.74851E-04,-2.13712E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.02532E-06
4,3,5,-1,41,0,-1.5973852294924065,0.0,-1.82539E-04,3.03242E-19,0.00000E+00,0.00000E+00,0.00000E+00,3.02010E-06
5,4,6,-1,46,0,0.0,0.0,-1.74851E-04,2.13712E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.02532E-06
6,5,7,-1,48,0,0.0,0.0,-1.73020E-04,4.12191E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.12903E-06
7,6,-1,-1,8,0,0.0,0.0,-1.72836E-04,6.23949E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.13903E-06
8,48,-1,7,9,0,0.0,0.0,-1.51004E-04,6.22406E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.18130E-06
9,49,-1,8,10,0,0.0,0.0,-1.28176E-04,6.11856E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.19637E-06
10,43,-1,9,11,0,0.0,0.0,-1.05268E-04,5.84662E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.17907E-06
11,45,-1,10,12,0,0.0,0.0,-8.34598E-05,5.40691E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.02881E-06
12,33,-1,11,13,0,0.0,0.0,-6.34445E-05,4.83615E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.83001E-06
13,69,-1,12,14,0,0.0,0.0,-4.55718E-05,4.13901E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.59594E-06
14,67,-1,13,15,0,0.0,0.0,-3.02129E-05,3.31852E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.33808E-06
15,63,-1,14,16,0,0.0,0.0,-1.77667E-05,2.37876E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.86401E-07
16,65,-1,15,17,0,0.0,0.0,-8.31687E-06,1.31977E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.95990E-07
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-8.31687E-06,-1.31977E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.95990E-07
25,-1,70,26,24,0,0.0,0.0,-1.77667E-05,-2.37876E-05,0.00000E+00,0.00000E+00,0.00000E+00,9.86401E-07
26,-1,75,27,25,0,0.0,0.0,-3.02129E-05,-3.31852E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.33808E-06
27,-1,74,28,26,0,0.0,0.0,-4.55718E-05,-4.13901E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.59594E-06
28,-1,37,29,27,0,0.0,0.0,-6.34445E-05,-4.83615E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.83001E-06
29,-1,52,30,28,0,0.0,0.0,-8.34598E-05,-5.40691E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.02881E-06
30,-1,50,31,29,0,0.0,0.0,-1.05268E-04,-5.84662E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.17907E-06
31,-1,55,32,30,0,0.0,0.0,-1.28176E-04,-6.11856E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.19637E-06
32,-1,54,1,31,0,0.0,0.0,-1.51004E-04,-6.22406E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.18130E-06
33,34,12,45,69,0,0.0,0.0,-6.18611E-05,3.06624E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.80957E-06
34,35,33,44,68,0,0.0,0.0,-6.08999E-05,1.48412E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.74423E-06
35,36,34,38,61,0,0.0,0.0,-6.05864E-05,2.00416E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.72354E-06
36,37,35,53,76,0,0.0,0.0,-6.08999E-05,-1.48412E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.74423E-06
37,28,36,52,74,0,0.0,0.0,-6.18611E-05,-3.06624E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.80957E-06
38,53,44,39,35,0,0.0,0.0,-8.11111E-05,2.26628E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.90156E-06
39,51,42,40,38,0,0.0,0.0,-1.03273E-04,2.59419E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.08271E-06
40,57,47,41,39,0,0.0,0.0,-1.26560E-04,2.62616E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.07187E-06
41,56,46,4,40,0,0.0,0.0,-1.50302E-04,2.73849E-19,0.00000E+00,0.00000E+00,0.00000E+00,2.57871E-06
42,39,43,47,44,0,0.0,0.0,-1.03525E-04,1.83404E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.05108E-06
43,42,10,49,45,0,0.0,0.0,-1.04241E-04,3.74324E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.15908E-06
44,38,45,42,34,0,0.0,0.0,-8.14055E-05,1.67601E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.93934E-06
45,44,11,43,33,0,0.0,0.0,-8.21894E-05,3.44608E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.99682E-06
46,41,48,5,47,0,0.0,0.0,-1.51581E-04,2.13736E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.21571E-06
47,40,49,46,42,0,0.0,0.0,-1.26780E-04,1.96825E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.25328E-06
48,46,8,6,49,0,0.0,0.0,-1.51118E-04,4.10094E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.12277E-06
49,47,9,48,43,0,0.0,0.0,-1.27603E-04,3.97758E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.22559E-06
50,30,51,55,52,0,0.0,0.0,-1.04241E-04,-3.74324E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.15908E-06
51,50,39,57,53,0,0.0,0.0,-1.03525E-04,-1.83404E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.05108E-06
52,29,53,50,37,0,0.0,0.0,-8.21894E-05,-3.44608E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.99682E-06
53,52,38,51,36,0,0.0,0.0,-8.14055E-05,-1.67601E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.93934E-06
54,32,56,2,55,0,0.0,0.0,-1.51118E-04,-4.10094E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.12277E-06
55,31,57,54,50,0,0.0,0.0,-1.27603E-04,-3.97758E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.22559E-06
56,54,41,3,57,0,0.0,0.0,-1.51581E-04,-2.13736E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.21571E-06
57,55,40,56,51,0,0.0,0.0,-1.26780E-04,-1.96825E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.25328E-06
58,73,64,59,20,0,0.0,0.0,-4.22606E-06,3.80995E-20,0.00000E+00,0.00000E+00,0.00000E+00,4.89801E-07
59,71,62,60,58,0,0.0,0.0,-1.32709E-05,8.12891E-20,0.00000E+00,0.00000E+00,0.00000E+00,8.64531E-07
60,77,66,61,59,0,0.0,0.0,-2.61588E-05,1.26577E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.21361E-06
61,76,68,35,60,0,0.0,0.0,-4.21193E-05,1.67075E-19,0.00000E+00,0.00000E+00,0.00000E+00,1.49473E-06
62,59,63,66,64,0,0.0,0.0,-1.36991E-05,6.48699E-06,0.00000E+00,0.00000E+00,0.00000E+00,9.12587E-07
63,62,15,67,65,0,0.0,0.0,-1.52430E-05,1.41296E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.03512E-06
64,58,65,62,19,0,0.0,0.0,-4.44508E-06,3.18608E-06,0.00000E+00,0.00000E+00,0.00000E+00,4.94534E-07
65,64,16,63,18,0,0.0,0.0,-5.36520E-06,6.76288E-06,0.00000E+00,0.00000E+00,0.00000E+00,6.24224E-07
66,60,67,68,62,0,0.0,0.0,-2.66408E-05,9.72893E-06,0.00000E+00,0.00000E+00,0.00000E+00,1.24350E-06
67,66,14,69,63,0,0.0,0.0,-2.80092E-05,2.05057E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.29360E-06
