Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,5.59904E-04,2.02129E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.92944E-06
2,1,3,-1,54,0,0.0,0.0,5.60502E-04,1.33530E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.89702E-06
3,2,4,-1,56,0,0.0,0.0,5.66434E-04,6.92325E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.56108E-06
4,3,5,-1,41,0,5.174759203604406,0.0,5.91339E-04,-9.82359E-19,0.00000E+00,0.00000E+00,0.00000E+00,-9.78367E-06
5,4,6,-1,46,0,0.0,0.0,5.66434E-04,-6.92325E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.56108E-06
6,5,7,-1,48,0,0.0,0.0,5.60502E-04,-1.33530E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.89702E-06
7,6,-1,-1,8,0,0.0,0.0,5.59904E-04,-2.02129E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.92944E-06
8,48,-1,7,9,0,0.0,0.0,4.89180E-04,-2.01630E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.06637E-06
9,49,-1,8,10,0,0.0,0.0,4.15230E-04,-1.98212E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.11518E-06
10,43,-1,9,11,0,0.0,0.0,3.41017E-04,-1.89402E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.05912E-06
11,45,-1,10,12,0,0.0,0.0,2.70369E-04,-1.75158E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.57238E-06
12,33,-1,11,13,0,0.0,0.0,2.05529E-04,-1.56668E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.92834E-06
13,69,-1,12,14,0,0.0,0.0,1.47631E-04,-1.34084E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.17009E-06
14,67,-1,13,15,0,0.0,0.0,9.78753E-05,-1.07504E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.33474E-06
15,63,-1,14,16,0,0.0,0.0,5.75555E-05,-7.70603E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.19547E-06
16,65,-1,15,17,0,0.0,0.0,2.69426E-05,-4.27543E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.90258E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,2.69426E-05,4.27543E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.90258E-06
25,-1,70,26,24,0,0.0,0.0,5.75555E-05,7.70603E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.19547E-06
26,-1,75,27,25,0,0.0,0.0,9.78753E-05,1.07504E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.33474E-06
27,-1,74,28,26,0,0.0,0.0,1.47631E-04,1.34084E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.17009E-06
28,-1,37,29,27,0,0.0,0.0,2.05529E-04,1.56668E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.92834E-06
29,-1,52,30,28,0,0.0,0.0,2.70369E-04,1.75158E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.57238E-06
30,-1,50,31,29,0,0.0,0.0,3.41017E-04,1.89402E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.05912E-06
31,-1,55,32,30,0,0.0,0.0,4.15230E-04,1.98212E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.11518E-06
32,-1,54,1,31,0,0.0,0.0,4.89180E-04,2.01630E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.06637E-06
33,34,12,45,69,0,0.0,0.0,2.00400E-04,-9.93315E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.86214E-06
34,35,33,44,68,0,0.0,0.0,1.97286E-04,-4.80784E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.65046E-06
35,36,34,38,61,0,0.0,0.0,1.96271E-04,-6.66179E-19,0.00000E+00,0.00000E+00,0.00000E+00,-5.58345E-06
36,37,35,53,76,0,0.0,0.0,1.97286E-04,4.80784E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.65046E-06
37,28,36,52,74,0,0.0,0.0,2.00400E-04,9.93315E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.86214E-06
38,53,44,39,35,0,0.0,0.0,2.62761E-04,-7.60167E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.16013E-06
39,51,42,40,38,0,0.0,0.0,3.34555E-04,-8.31451E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.74698E-06
40,57,47,41,39,0,0.0,0.0,4.09993E-04,-8.50750E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.71186E-06
41,56,46,4,40,0,0.0,0.0,4.86907E-04,-8.87140E-19,0.00000E+00,0.00000E+00,0.00000E+00,-8.35378E-06
42,39,43,47,44,0,0.0,0.0,3.35372E-04,-5.94140E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.64451E-06
43,42,10,49,45,0,0.0,0.0,3.37690E-04,-1.21263E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.99437E-06
44,38,45,42,34,0,0.0,0.0,2.63714E-04,-5.42945E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.28252E-06
45,44,11,43,33,0,0.0,0.0,2.66254E-04,-1.11636E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.46872E-06
46,41,48,5,47,0,0.0,0.0,4.91051E-04,-6.92401E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.17783E-06
47,40,49,46,42,0,0.0,0.0,4.10705E-04,-6.37619E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.29954E-06
48,46,8,6,49,0,0.0,0.0,4.89550E-04,-1.32851E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.87677E-06
49,47,9,48,43,0,0.0,0.0,4.13373E-04,-1.28854E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.20984E-06
50,30,51,55,52,0,0.0,0.0,3.37690E-04,1.21263E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.99437E-06
51,50,39,57,53,0,0.0,0.0,3.35372E-04,5.94140E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.64451E-06
52,29,53,50,37,0,0.0,0.0,2.66254E-04,1.11636E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.46872E-06
53,52,38,51,36,0,0.0,0.0,2.63714E-04,5.42945E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.28252E-06
54,32,56,2,55,0,0.0,0.0,4.89550E-04,1.32851E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.87677E-06
55,31,57,54,50,0,0.0,0.0,4.13373E-04,1.28854E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.20984E-06
56,54,41,3,57,0,0.0,0.0,4.91051E-04,6.92401E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.17783E-06
57,55,40,56,51,0,0.0,0.0,4.10705E-04,6.37619E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.29954E-06
58,73,64,59,20,0,0.0,0.0,1.36904E-05,-1.23915E-19,0.00000E+00,0.00000E+00,0.00000E+00,-1.58672E-06
59,71,62,60,58,0,0.0,0.0,4.29912E-05,-2.62791E-19,0.00000E+00,0.00000E+00,0.00000E+00,-2.80066E-06
60,77,66,61,59,0,0.0,0.0,8.47418E-05,-4.12238E-19,0.00000E+00,0.00000E+00,0.00000E+00,-3.93152E-06
61,76,68,35,60,0,0.0,0.0,1.36446E-04,-5.42080E-19,0.00000E+00,0.00000E+00,0.00000E+00,-4.84219E-06
62,59,63,66,64,0,0.0,0.0,4.43784E-05,-2.10147E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.95634E-06
63,62,15,67,65,0,0.0,0.0,4.93801E-05,-4.57731E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.35329E-06
64,58,65,62,19,0,0.0,0.0,1.43999E-05,-1.03214E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.60205E-06
65,64,16,63,18,0,0.0,0.0,1.73807E-05,-2.19085E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.02219E-06
66,60,67,68,62,0,0.0,0.0,8.63034E-05,-3.15171E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.02834E-06
67,66,14,69,63,0,0.0,0.0,9.07364E-05,-6.64285E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.19066E-06
68,61,69,34,66,0,0.0,0.0,1.37707E-04,-4.05307E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.89560E-06
69,68,13,33,67,0,0.0,0.0,1.41431E-04,-8.42649E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.10837E-06
70,25,71,75,72,0,0.0,0.0,4.93801E-05,4.57731E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.35329E-06
71,70,59,77,73,0,0.0,0.0,4.43784E-05,2.10147E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.95634E-06
72,24,73,70,22,0,0.0,0.0,1.73807E-05,2.19085E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.02219E-06
73,72,58,71,21,0,0.0,0.0,1.43999E-05,1.03214E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.60205E-06
74,27,76,37,75,0,0.0,0.0,1.41431E-04,8.42649E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.10837E-06
75,26,77,74,70,0,0.0,0.0,9.07364E-05,6.64285E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.19066E-06
76,74,61,36,77,0,0.0,0.0,1.37707E-04,4.05307E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.89560E-06
77,75,60,76,71,0,0.0,0.0,8.63034E-05,3.15171E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.02834E-06
