Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,9.50815E-04,3.43251E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.17674E-05
2,1,3,-1,54,0,0.0,0.0,9.51831E-04,2.26758E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.17123E-05
3,2,4,-1,56,0,0.0,0.0,9.61904E-04,1.17569E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.11419E-05
4,3,5,-1,41,0,8.78764324882341,0.0,1.00420E-03,-1.66822E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.66144E-05
5,4,6,-1,46,0,0.0,0.0,9.61904E-04,-1.17569E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.11419E-05
6,5,7,-1,48,0,0.0,0.0,9.51831E-04,-2.26758E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.17123E-05
7,6,-1,-1,8,0,0.0,0.0,9.50815E-04,-3.43251E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.17674E-05
8,48,-1,7,9,0,0.0,0.0,8.30713E-04,-3.42402E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19999E-05
9,49,-1,8,10,0,0.0,0.0,7.05133E-04,-3.36598E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.20828E-05
10,43,-1,9,11,0,0.0,0.0,5.79107E-04,-3.21638E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19876E-05
11,45,-1,10,12,0,0.0,0.0,4.59134E-04,-2.97449E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.11610E-05
12,33,-1,11,13,0,0.0,0.0,3.49025E-04,-2.66049E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.00673E-05
13,69,-1,12,14,0,0.0,0.0,2.50702E-04,-2.27698E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.77971E-06
14,67,-1,13,15,0,0.0,0.0,1.66209E-04,-1.82561E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.36115E-06
15,63,-1,14,16,0,0.0,0.0,9.77393E-05,-1.30862E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.42646E-06
16,65,-1,15,17,0,0.0,0.0,4.57533E-05,-7.26043E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.92908E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,4.57533E-05,7.26043E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.92908E-06
25,-1,70,26,24,0,0.0,0.0,9.77393E-05,1.30862E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.42646E-06
26,-1,75,27,25,0,0.0,0.0,1.66209E-04,1.82561E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.36115E-06
27,-1,74,28,26,0,0.0,0.0,2.50702E-04,2.27698E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.77971E-06
28,-1,37,29,27,0,0.0,0.0,3.49025E-04,2.66049E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.00673E-05
29,-1,52,30,28,0,0.0,0.0,4.59134E-04,2.97449E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.11610E-05
30,-1,50,31,29,0,0.0,0.0,5.79107E-04,3.21638E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19876E-05
31,-1,55,32,30,0,0.0,0.0,7.05133E-04,3.36598E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.20828E-05
32,-1,54,1,31,0,0.0,0.0,8.30713E-04,3.42402E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19999E-05
33,34,12,45,69,0,0.0,0.0,3.40315E-04,-1.68682E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.95494E-06
34,35,33,44,68,0,0.0,0.0,3.35027E-04,-8.16454E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.59547E-06
35,36,34,38,61,0,0.0,0.0,3.33302E-04,-1.13493E-18,0.00000E+00,0.00000E+00,0.00000E+00,-9.48167E-06
36,37,35,53,76,0,0.0,0.0,3.35027E-04,8.16454E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.59547E-06
37,28,36,52,74,0,0.0,0.0,3.40315E-04,1.68682E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.95494E-06
38,53,44,39,35,0,0.0,0.0,4.46214E-04,-1.26063E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.04610E-05
39,51,42,40,38,0,0.0,0.0,5.68133E-04,-1.40752E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.14576E-05
40,57,47,41,39,0,0.0,0.0,6.96239E-04,-1.44472E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.13979E-05
41,56,46,4,40,0,0.0,0.0,8.26852E-04,-1.50652E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.41862E-05
42,39,43,47,44,0,0.0,0.0,5.69521E-04,-1.00895E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.12835E-05
43,42,10,49,45,0,0.0,0.0,5.73456E-04,-2.05926E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.18777E-05
44,38,45,42,34,0,0.0,0.0,4.47833E-04,-9.22015E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.06688E-05
45,44,11,43,33,0,0.0,0.0,4.52146E-04,-1.89578E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.09850E-05
46,41,48,5,47,0,0.0,0.0,8.33890E-04,-1.17582E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.21892E-05
47,40,49,46,42,0,0.0,0.0,6.97449E-04,-1.08279E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.23959E-05
48,46,8,6,49,0,0.0,0.0,8.31342E-04,-2.25604E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.16779E-05
49,47,9,48,43,0,0.0,0.0,7.01979E-04,-2.18817E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.22436E-05
50,30,51,55,52,0,0.0,0.0,5.73456E-04,2.05926E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.18777E-05
51,50,39,57,53,0,0.0,0.0,5.69521E-04,1.00895E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.12835E-05
52,29,53,50,37,0,0.0,0.0,4.52146E-04,1.89578E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.09850E-05
53,52,38,51,36,0,0.0,0.0,4.47833E-04,9.22015E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.06688E-05
54,32,56,2,55,0,0.0,0.0,8.31342E-04,2.25604E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.16779E-05
55,31,57,54,50,0,0.0,0.0,7.01979E-04,2.18817E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.22436E-05
56,54,41,3,57,0,0.0,0.0,8.33890E-04,1.17582E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.21892E-05
57,55,40,56,51,0,0.0,0.0,6.97449E-04,1.08279E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.23959E-05
58,73,64,59,20,0,0.0,0.0,2.32487E-05,-2.12753E-19,0.00000E+00,0.00000E+00,0.00000E+00,-2.69452E-06
59,71,62,60,58,0,0.0,0.0,7.30065E-05,-4.48825E-19,0.00000E+00,0.00000E+00,0.00000E+00,-4.75601E-06
60,77,66,61,59,0,0.0,0.0,1.43906E-04,-7.01816E-19,0.00000E+00,0.00000E+00,0.00000E+00,-6.67640E-06
61,76,68,35,60,0,0.0,0.0,2.31709E-04,-9.15446E-19,0.00000E+00,0.00000E+00,0.00000E+00,-8.22288E-06
62,59,63,66,64,0,0.0,0.0,7.53623E-05,-3.56867E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.02039E-06
63,62,15,67,65,0,0.0,0.0,8.38561E-05,-7.77307E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.69448E-06
64,58,65,62,19,0,0.0,0.0,2.44536E-05,-1.75275E-05,0.00000E+00,0.00000E+00,0.00000E+00,-2.72057E-06
65,64,16,63,18,0,0.0,0.0,2.95154E-05,-3.72044E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.43402E-06
66,60,67,68,62,0,0.0,0.0,1.46558E-04,-5.35215E-05,0.00000E+00,0.00000E+00,0.00000E+00,-6.84082E-06
67,66,14,69,63,0,0.0,0.0,1.54086E-04,-1.12807E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.11646E-06
68,61,69,34,66,0,0.0,0.0,2.33850E-04,-6.88282E-05,0.00000E+00,0.00000E+00,0.00000E+00,-8.31359E-06
69,68,13,33,67,0,0.0,0.0,2.40175E-04,-1.43096E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.67490E-06
