Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,3.76801E-05,1.36028E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.66333E-07
2,1,3,-1,54,0,0.0,0.0,3.77204E-05,8.98624E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.64152E-07
3,2,4,-1,56,0,0.0,0.0,3.81196E-05,4.65917E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.41544E-07
4,3,5,-1,41,0,0.3482480445838583,0.0,3.97956E-05,-6.61103E-20,0.00000E+00,0.00000E+00,0.00000E+00,-6.58416E-07
5,4,6,-1,46,0,0.0,0.0,3.81196E-05,-4.65917E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.41544E-07
6,5,7,-1,48,0,0.0,0.0,3.77204E-05,-8.98624E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.64152E-07
7,6,-1,-1,8,0,0.0,0.0,3.76801E-05,-1.36028E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.66333E-07
8,48,-1,7,9,0,0.0,0.0,3.29206E-05,-1.35692E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.75548E-07
9,49,-1,8,10,0,0.0,0.0,2.79439E-05,-1.33391E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.78833E-07
10,43,-1,9,11,0,0.0,0.0,2.29496E-05,-1.27463E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.75061E-07
11,45,-1,10,12,0,0.0,0.0,1.81952E-05,-1.17877E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.42304E-07
12,33,-1,11,13,0,0.0,0.0,1.38316E-05,-1.05433E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.98962E-07
13,69,-1,12,14,0,0.0,0.0,9.93516E-06,-9.02351E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.47934E-07
14,67,-1,13,15,0,0.0,0.0,6.58676E-06,-7.23475E-06,0.00000E+00,0.00000E+00,0.00000E+00,-2.91717E-07
15,63,-1,14,16,0,0.0,0.0,3.87334E-06,-5.18596E-06,0.00000E+00,0.00000E+00,0.00000E+00,-2.15047E-07
16,65,-1,15,17,0,0.0,0.0,1.81317E-06,-2.87726E-06,0.00000E+00,0.00000E+00,0.00000E+00,-1.95336E-07
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,1.81317E-06,2.87726E-06,0.00000E+00,0.00000E+00,0.00000E+00,-1.95336E-07
25,-1,70,26,24,0,0.0,0.0,3.87334E-06,5.18596E-06,0.00000E+00,0.00000E+00,0.00000E+00,-2.15047E-07
26,-1,75,27,25,0,0.0,0.0,6.58676E-06,7.23475E-06,0.00000E+00,0.00000E+00,0.00000E+00,-2.91717E-07
27,-1,74,28,26,0,0.0,0.0,9.93516E-06,9.02351E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.47934E-07
28,-1,37,29,27,0,0.0,0.0,1.38316E-05,1.05433E-05,0.00000E+00,0.00000E+00,0.00000E+00,-3.98962E-07
29,-1,52,30,28,0,0.0,0.0,1.81952E-05,1.17877E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.42304E-07
30,-1,50,31,29,0,0.0,0.0,2.29496E-05,1.27463E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.75061E-07
31,-1,55,32,30,0,0.0,0.0,2.79439E-05,1.33391E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.78833E-07
32,-1,54,1,31,0,0.0,0.0,3.29206E-05,1.35692E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.75548E-07
33,34,12,45,69,0,0.0,0.0,1.34864E-05,-6.68476E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.94507E-07
34,35,33,44,68,0,0.0,0.0,1.32769E-05,-3.23555E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.80261E-07
35,36,34,38,61,0,0.0,0.0,1.32085E-05,-4.35465E-20,0.00000E+00,0.00000E+00,0.00000E+00,-3.75752E-07
36,37,35,53,76,0,0.0,0.0,1.32769E-05,3.23555E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.80261E-07
37,28,36,52,74,0,0.0,0.0,1.34864E-05,6.68476E-06,0.00000E+00,0.00000E+00,0.00000E+00,-3.94507E-07
38,53,44,39,35,0,0.0,0.0,1.76831E-05,-4.90856E-20,0.00000E+00,0.00000E+00,0.00000E+00,-4.14561E-07
39,51,42,40,38,0,0.0,0.0,2.25147E-05,-5.46856E-20,0.00000E+00,0.00000E+00,0.00000E+00,-4.54055E-07
40,57,47,41,39,0,0.0,0.0,2.75915E-05,-5.72533E-20,0.00000E+00,0.00000E+00,0.00000E+00,-4.51691E-07
41,56,46,4,40,0,0.0,0.0,3.27676E-05,-5.97022E-20,0.00000E+00,0.00000E+00,0.00000E+00,-5.62188E-07
42,39,43,47,44,0,0.0,0.0,2.25697E-05,-3.99841E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.47158E-07
43,42,10,49,45,0,0.0,0.0,2.27256E-05,-8.16069E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.70703E-07
44,38,45,42,34,0,0.0,0.0,1.77473E-05,-3.65388E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.22798E-07
45,44,11,43,33,0,0.0,0.0,1.79182E-05,-7.51283E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.35328E-07
46,41,48,5,47,0,0.0,0.0,3.30464E-05,-4.65968E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.83049E-07
47,40,49,46,42,0,0.0,0.0,2.76394E-05,-4.29101E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.91240E-07
48,46,8,6,49,0,0.0,0.0,3.29455E-05,-8.94052E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.62789E-07
49,47,9,48,43,0,0.0,0.0,2.78189E-05,-8.67157E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.85203E-07
50,30,51,55,52,0,0.0,0.0,2.27256E-05,8.16069E-06,0.00000E+00,0.00000E+00,0.00000E+00,-4.70703E-07
