Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,7.81913E-04,2.82276E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.67704E-06
2,1,3,-1,54,0,0.0,0.0,7.82748E-04,1.86477E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.63177E-06
3,2,4,-1,56,0,0.0,0.0,7.91032E-04,9.66840E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.16262E-06
4,3,5,-1,41,0,7.226613646269758,0.0,8.25811E-04,-1.37188E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.36630E-05
5,4,6,-1,46,0,0.0,0.0,7.91032E-04,-9.66840E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.16262E-06
6,5,7,-1,48,0,0.0,0.0,7.82748E-04,-1.86477E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.63177E-06
7,6,-1,-1,8,0,0.0,0.0,7.81913E-04,-2.82276E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.67704E-06
8,48,-1,7,9,0,0.0,0.0,6.83146E-04,-2.81578E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.86827E-06
9,49,-1,8,10,0,0.0,0.0,5.79874E-04,-2.76805E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.93643E-06
10,43,-1,9,11,0,0.0,0.0,4.76235E-04,-2.64502E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.85815E-06
11,45,-1,10,12,0,0.0,0.0,3.77574E-04,-2.44610E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.17841E-06
12,33,-1,11,13,0,0.0,0.0,2.87024E-04,-2.18789E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.27899E-06
13,69,-1,12,14,0,0.0,0.0,2.06168E-04,-1.87250E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.22009E-06
14,67,-1,13,15,0,0.0,0.0,1.36684E-04,-1.50131E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.05352E-06
15,63,-1,14,16,0,0.0,0.0,8.03770E-05,-1.07616E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.46251E-06
16,65,-1,15,17,0,0.0,0.0,3.76257E-05,-5.97069E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.05348E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,3.76257E-05,5.97069E-05,0.00000E+00,0.00000E+00,0.00000E+00,-4.05348E-06
25,-1,70,26,24,0,0.0,0.0,8.03770E-05,1.07616E-04,0.00000E+00,0.00000E+00,0.00000E+00,-4.46251E-06
26,-1,75,27,25,0,0.0,0.0,1.36684E-04,1.50131E-04,0.00000E+00,0.00000E+00,0.00000E+00,-6.05352E-06
27,-1,74,28,26,0,0.0,0.0,2.06168E-04,1.87250E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.22009E-06
28,-1,37,29,27,0,0.0,0.0,2.87024E-04,2.18789E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.27899E-06
29,-1,52,30,28,0,0.0,0.0,3.77574E-04,2.44610E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.17841E-06
30,-1,50,31,29,0,0.0,0.0,4.76235E-04,2.64502E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.85815E-06
31,-1,55,32,30,0,0.0,0.0,5.79874E-04,2.76805E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.93643E-06
32,-1,54,1,31,0,0.0,0.0,6.83146E-04,2.81578E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.86827E-06
33,34,12,45,69,0,0.0,0.0,2.79861E-04,-1.38718E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.18655E-06
34,35,33,44,68,0,0.0,0.0,2.75513E-04,-6.71420E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.89094E-06
35,36,34,38,61,0,0.0,0.0,2.74094E-04,-9.36099E-19,0.00000E+00,0.00000E+00,0.00000E+00,-7.79736E-06
36,37,35,53,76,0,0.0,0.0,2.75513E-04,6.71420E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.89094E-06
37,28,36,52,74,0,0.0,0.0,2.79861E-04,1.38718E-04,0.00000E+00,0.00000E+00,0.00000E+00,-8.18655E-06
38,53,44,39,35,0,0.0,0.0,3.66949E-04,-1.06160E-18,0.00000E+00,0.00000E+00,0.00000E+00,-8.60269E-06
39,51,42,40,38,0,0.0,0.0,4.67210E-04,-1.17096E-18,0.00000E+00,0.00000E+00,0.00000E+00,-9.42224E-06
40,57,47,41,39,0,0.0,0.0,5.72560E-04,-1.18808E-18,0.00000E+00,0.00000E+00,0.00000E+00,-9.37319E-06
