Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,1.20764E-04,-2.98110E-19,1.21059E-04,-2.14466E-05,9.51928E-05,-1.95987E-05,9.48486E-05,-2.64955E-19,7.76199E-02,9.77757E-04,9.77757E-04,-1.91104E-02,-1.91104E-02,-4.33589E-02,-4.33589E-02,3.18781E-07,3.19565E-08,3.19565E-08,-9.23986E-08,-9.23986E-08,-5.36825E-07,-5.36825E-07
79,38,44,34,35,9.48486E-05,-2.64955E-19,9.51928E-05,-1.95987E-05,7.12144E-05,-1.73548E-05,7.08477E-05,-2.39335E-19,8.06695E-02,4.35298E-04,4.35298E-04,-2.34297E-02,-2.34297E-02,-4.45280E-02,-4.45280E-02,3.30512E-07,3.55438E-08,3.55438E-08,-1.12192E-07,-1.12192E-07,-5.51299E-07,-5.51299E-07
80,11,45,43,10,9.75951E-05,-6.32266E-05,9.61096E-05,-4.02973E-05,1.21896E-04,-4.37722E-05,1.23097E-04,-6.83684E-05,9.44557E-02,1.17230E-03,1.17230E-03,-9.01239E-02,-9.01239E-02,-1.51935E-02,-1.51935E-02,3.57820E-07,1.34331E-07,1.34331E-07,-4.30836E-07,-4.30836E-07,-1.88110E-07,-1.88110E-07
81,45,44,42,43,9.61096E-05,-4.02973E-05,9.51928E-05,-1.95987E-05,1.21059E-04,-2.14466E-05,1.21896E-04,-4.37722E-05,8.25168E-02,1.80427E-03,1.80427E-03,-5.53497E-02,-5.53497E-02,-3.48440E-02,-3.48440E-02,3.27571E-07,8.76628E-08,8.76628E-08,-2.66147E-07,-2.66147E-07,-4.31402E-07,-4.31402E-07
82,12,33,45,11,7.41898E-05,-5.65523E-05,7.23383E-05,-3.58556E-05,9.61096E-05,-4.02973E-05,9.75951E-05,-6.32266E-05,1.19336E-01,2.52366E-05,2.52366E-05,-1.16710E-01,-1.16710E-01,-1.43384E-02,-1.43384E-02,4.48762E-07,1.66849E-07,1.66849E-07,-5.55799E-07,-5.55799E-07,-1.77523E-07,-1.77523E-07
83,33,34,44,45,7.23383E-05,-3.58556E-05,7.12144E-05,-1.73548E-05,9.51928E-05,-1.95987E-05,9.61096E-05,-4.02973E-05,9.22829E-02,4.04855E-04,4.04855E-04,-7.00759E-02,-7.00759E-02,-3.45300E-02,-3.45300E-02,3.61069E-07,1.02036E-07,1.02036E-07,-3.34273E-07,-3.34273E-07,-4.27515E-07,-4.27515E-07
84,4,5,46,41,2.13455E-04,-3.54602E-19,2.04465E-04,-2.49908E-05,1.77254E-04,-2.49935E-05,1.75758E-04,-3.20230E-19,1.29627E-01,-8.64581E-02,-8.64581E-02,-2.59086E-02,-2.59086E-02,-6.02683E-02,-6.02683E-02,4.98011E-07,-3.74693E-07,-3.74693E-07,1.37293E-10,1.37293E-10,-7.46178E-07,-7.46178E-07
85,41,46,47,40,1.75758E-04,-3.20230E-19,1.77254E-04,-2.49935E-05,1.48252E-04,-2.30161E-05,1.47995E-04,-3.07095E-19,6.65952E-02,1.33820E-02,1.33820E-02,-1.67486E-02,-1.67486E-02,-3.53610E-02,-3.53610E-02,2.74775E-07,8.76506E-08,8.76506E-08,-9.88726E-08,-9.88726E-08,-4.37803E-07,-4.37803E-07
86,40,47,42,39,1.47995E-04,-3.07095E-19,1.48252E-04,-2.30161E-05,1.21059E-04,-2.14466E-05,1.20764E-04,-2.98110E-19,7.16449E-02,9.37246E-04,9.37246E-04,-1.61982E-02,-1.61982E-02,-4.02267E-02,-4.02267E-02,2.94484E-07,2.76033E-08,2.76033E-08,-7.84731E-08,-7.84731E-08,-4.98044E-07,-4.98044E-07
87,8,48,6,7,1.76579E-04,-7.27821E-05,1.76713E-04,-4.79551E-05,2.02324E-04,-4.82003E-05,2.02108E-04,-7.29625E-05,1.23230E-02,-5.50415E-03,-5.50415E-03,-6.12055E-03,-6.12055E-03,-6.26601E-03,-6.26601E-03,4.66676E-08,-1.74666E-08,-1.74666E-08,-2.12824E-08,-2.12824E-08,-7.75792E-08,-7.75792E-08
