Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,1.38240E-04,-3.38992E-19,1.38577E-04,-2.45501E-05,1.08968E-04,-2.24347E-05,1.08574E-04,-3.04081E-19,8.88521E-02,1.11925E-03,1.11925E-03,-2.18758E-02,-2.18758E-02,-4.96334E-02,-4.96334E-02,3.64911E-07,3.65809E-08,3.65809E-08,-1.05769E-07,-1.05769E-07,-6.14508E-07,-6.14508E-07
79,38,44,34,35,1.08574E-04,-3.04081E-19,1.08968E-04,-2.24347E-05,8.15197E-05,-1.98662E-05,8.10999E-05,-2.73306E-19,9.23431E-02,4.98290E-04,4.98290E-04,-2.68202E-02,-2.68202E-02,-5.09716E-02,-5.09716E-02,3.78340E-07,4.06873E-08,4.06873E-08,-1.28427E-07,-1.28427E-07,-6.31077E-07,-6.31077E-07
80,11,45,43,10,1.11718E-04,-7.23761E-05,1.10017E-04,-4.61286E-05,1.39535E-04,-5.01065E-05,1.40910E-04,-7.82619E-05,1.08124E-01,1.34194E-03,1.34194E-03,-1.03166E-01,-1.03166E-01,-1.73921E-02,-1.73921E-02,4.09599E-07,1.53770E-07,1.53770E-07,-4.93182E-07,-4.93182E-07,-2.15331E-07,-2.15331E-07
81,45,44,42,43,1.10017E-04,-4.61286E-05,1.08968E-04,-2.24347E-05,1.38577E-04,-2.45501E-05,1.39535E-04,-5.01065E-05,9.44577E-02,2.06537E-03,2.06537E-03,-6.33593E-02,-6.33593E-02,-3.98863E-02,-3.98863E-02,3.74973E-07,1.00348E-07,1.00348E-07,-3.04661E-07,-3.04661E-07,-4.93830E-07,-4.93830E-07
82,12,33,45,11,8.49257E-05,-6.47359E-05,8.28063E-05,-4.10443E-05,1.10017E-04,-4.61286E-05,1.11718E-04,-7.23761E-05,1.36604E-01,2.88886E-05,2.88886E-05,-1.33599E-01,-1.33599E-01,-1.64133E-02,-1.64133E-02,5.13701E-07,1.90993E-07,1.90993E-07,-6.36227E-07,-6.36227E-07,-2.03212E-07,-2.03212E-07
83,33,34,44,45,8.28063E-05,-4.10443E-05,8.15197E-05,-1.98662E-05,1.08968E-04,-2.24347E-05,1.10017E-04,-4.61286E-05,1.05637E-01,4.63441E-04,4.63441E-04,-8.02165E-02,-8.02165E-02,-3.95268E-02,-3.95268E-02,4.13319E-07,1.16802E-07,1.16802E-07,-3.82645E-07,-3.82645E-07,-4.89380E-07,-4.89380E-07
84,4,5,46,41,2.44344E-04,-4.05915E-19,2.34053E-04,-2.86072E-05,2.02904E-04,-2.86103E-05,2.01192E-04,-3.66570E-19,1.48385E-01,-9.89693E-02,-9.89693E-02,-2.96578E-02,-2.96578E-02,-6.89896E-02,-6.89896E-02,5.70077E-07,-4.28914E-07,-4.28914E-07,1.57161E-10,1.57161E-10,-8.54157E-07,-8.54157E-07
85,41,46,47,40,2.01192E-04,-3.66570E-19,2.02904E-04,-2.86103E-05,1.69705E-04,-2.63467E-05,1.69411E-04,-3.51534E-19,7.62321E-02,1.53185E-02,1.53185E-02,-1.91723E-02,-1.91723E-02,-4.04780E-02,-4.04780E-02,3.14537E-07,1.00334E-07,1.00334E-07,-1.13180E-07,-1.13180E-07,-5.01156E-07,-5.01156E-07
86,40,47,42,39,1.69411E-04,-3.51534E-19,1.69705E-04,-2.63467E-05,1.38577E-04,-2.45501E-05,1.38240E-04,-3.38992E-19,8.20125E-02,1.07287E-03,1.07287E-03,-1.85422E-02,-1.85422E-02,-4.60478E-02,-4.60478E-02,3.37099E-07,3.15978E-08,3.15978E-08,-8.98289E-08,-8.98289E-08,-5.70116E-07,-5.70116E-07
87,8,48,6,7,2.02132E-04,-8.33143E-05,2.02284E-04,-5.48946E-05,2.31602E-04,-5.51753E-05,2.31355E-04,-8.35208E-05,1.41063E-02,-6.30065E-03,-6.30065E-03,-7.00625E-03,-7.00625E-03,-7.17275E-03,-7.17275E-03,5.34207E-08,-1.99942E-08,-1.99942E-08,-2.43622E-08,-2.43622E-08,-8.88055E-08,-8.88055E-08
88,48,46,5,6,2.02284E-04,-5.48946E-05,2.02904E-04,-2.86103E-05,2.34053E-04,-2.86072E-05,2.31602E-04,-5.51753E-05,6.20414E-02,-3.63961E-02,-3.63961E-02,-1.38333E-02,-1.38333E-02,-3.07494E-02,-3.07494E-02,2.40687E-07,-1.53553E-07,-1.53553E-07,-1.38784E-08,-1.38784E-08,-3.80707E-07,-3.80707E-07
89,10,43,49,9,1.40910E-04,-7.82619E-05,1.39535E-04,-5.01065E-05,1.70807E-04,-5.32432E-05,1.71575E-04,-8.19020E-05,7.99058E-02,1.26201E-03,1.26201E-03,-7.07791E-02,-7.07791E-02,-2.06908E-02,-2.06908E-02,3.06817E-07,1.07123E-07,1.07123E-07,-3.38846E-07,-3.38846E-07,-2.56172E-07,-2.56172E-07
90,9,49,48,8,1.71575E-04,-8.19020E-05,1.70807E-04,-5.32432E-05,2.02284E-04,-5.48946E-05,2.02132E-04,-8.33143E-05,4.69106E-02,-3.51300E-03,-3.51300E-03,-3.32218E-02,-3.32218E-02,-2.00107E-02,-2.00107E-02,1.82759E-07,3.07312E-08,3.07312E-08,-1.53181E-07,-1.53181E-07,-2.47751E-07,-2.47751E-07
91,43,42,47,49,1.39535E-04,-5.01065E-05,1.38577E-04,-2.45501E-05,1.69705E-04,-2.63467E-05,1.70807E-04,-5.32432E-05,8.77431E-02,6.68909E-03,6.68909E-03,-4.97934E-02,-4.97934E-02,-4.01731E-02,-4.01731E-02,3.54273E-07,1.02986E-07,1.02986E-07,-2.46667E-07,-2.46667E-07,-4.97382E-07,-4.97382E-07
92,49,47,46,48,1.70807E-04,-5.32432E-05,1.69705E-04,-2.63467E-05,2.02904E-04,-2.86103E-05,2.02284E-04,-5.48946E-05,8.98563E-02,-7.98807E-03,-7.98807E-03,-4.35036E-02,-4.35036E-02,-4.64231E-02,-4.64231E-02,3.59865E-07,2.41096E-08,2.41096E-08,-1.95748E-07,-1.95748E-07,-5.74762E-07,-5.74762E-07
93,30,50,52,29,1.40910E-04,7.82619E-05,1.39535E-04,5.01065E-05,1.10017E-04,4.61286E-05,1.11718E-04,7.23761E-05,1.08124E-01,-1.34194E-03,-1.34194E-03,1.03166E-01,1.03166E-01,-1.73921E-02,-1.73921E-02,4.09599E-07,-1.53770E-07,-1.53770E-07,4.93182E-07,4.93182E-07,-2.15331E-07,-2.15331E-07
94,29,52,37,28,1.11718E-04,7.23761E-05,1.10017E-04,4.61286E-05,8.28063E-05,4.10443E-05,8.49257E-05,6.47359E-05,1.36604E-01,-2.88886E-05,-2.88886E-05,1.33599E-01,1.33599E-01,-1.64133E-02,-1.64133E-02,5.13701E-07,-1.90993E-07,-1.90993E-07,6.36227E-07,6.36227E-07,-2.03212E-07,-2.03212E-07
95,38,53,51,39,1.08574E-04,-3.04081E-19,1.08968E-04,2.24347E-05,1.38577E-04,2.45501E-05,1.38240E-04,-3.38992E-19,9.44577E-02,-2.06537E-03,-2.06537E-03,6.33593E-02,6.33593E-02,-3.98863E-02,-3.98863E-02,3.74973E-07,-1.00348E-07,-1.00348E-07,3.04661E-07,3.04661E-07,-4.93830E-07,-4.93830E-07
