Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,-9.89344E-05,2.40325E-19,-9.91760E-05,1.75699E-05,-7.79854E-05,1.60559E-05,-7.77035E-05,2.16017E-19,6.35890E-02,-8.01014E-04,-8.01014E-04,1.56559E-02,1.56559E-02,3.55212E-02,3.55212E-02,2.61157E-07,-2.61799E-08,-2.61799E-08,7.56963E-08,7.56963E-08,4.39787E-07,4.39787E-07
79,38,44,34,35,-7.77035E-05,2.16017E-19,-7.79854E-05,1.60559E-05,-5.83414E-05,1.42177E-05,-5.80410E-05,1.91757E-19,6.60874E-02,-3.56612E-04,-3.56612E-04,1.91944E-02,1.91944E-02,3.64790E-02,3.64790E-02,2.70768E-07,-2.91188E-08,-2.91188E-08,9.19116E-08,9.19116E-08,4.51644E-07,4.51644E-07
80,11,45,43,10,-7.99534E-05,5.17976E-05,-7.87365E-05,3.30130E-05,-9.98613E-05,3.58598E-05,-1.00845E-04,5.60099E-05,7.73815E-02,-9.60387E-04,-9.60387E-04,7.38328E-02,7.38328E-02,1.24471E-02,1.24471E-02,2.93139E-07,-1.10049E-07,-1.10049E-07,3.52957E-07,3.52957E-07,1.54106E-07,1.54106E-07
81,45,44,42,43,-7.87365E-05,3.30130E-05,-7.79854E-05,1.60559E-05,-9.91760E-05,1.75699E-05,-9.98613E-05,3.58598E-05,6.76008E-02,-1.47813E-03,-1.47813E-03,4.53445E-02,4.53445E-02,2.85455E-02,2.85455E-02,2.68358E-07,-7.18165E-08,-7.18165E-08,2.18038E-07,2.18038E-07,3.53420E-07,3.53420E-07
82,12,33,45,11,-6.07790E-05,4.63297E-05,-5.92622E-05,2.93742E-05,-7.87365E-05,3.30130E-05,-7.99534E-05,5.17976E-05,9.77640E-02,-2.06747E-05,-2.06747E-05,9.56132E-02,9.56132E-02,1.17466E-02,1.17466E-02,3.67642E-07,-1.36689E-07,-1.36689E-07,4.55330E-07,4.55330E-07,1.45434E-07,1.45434E-07
83,33,34,44,45,-5.92622E-05,2.93742E-05,-5.83414E-05,1.42177E-05,-7.79854E-05,1.60559E-05,-7.87365E-05,3.30130E-05,7.56015E-02,-3.31672E-04,-3.31672E-04,5.74087E-02,5.74087E-02,2.82883E-02,2.82883E-02,2.95801E-07,-8.35918E-08,-8.35918E-08,2.73849E-07,2.73849E-07,3.50235E-07,3.50235E-07
84,4,5,46,41,-1.74870E-04,2.90503E-19,-1.67505E-04,2.04734E-05,-1.45213E-04,2.04756E-05,-1.43988E-04,2.62344E-19,1.06195E-01,7.08296E-02,7.08296E-02,2.12253E-02,2.12253E-02,4.93739E-02,4.93739E-02,4.07988E-07,3.06962E-07,3.06962E-07,-1.12476E-10,-1.12476E-10,6.11296E-07,6.11296E-07
85,41,46,47,40,-1.43988E-04,2.62344E-19,-1.45213E-04,2.04756E-05,-1.21453E-04,1.88556E-05,-1.21243E-04,2.51583E-19,5.45572E-02,-1.09630E-02,-1.09630E-02,1.37211E-02,1.37211E-02,2.89690E-02,2.89690E-02,2.25106E-07,-7.18065E-08,-7.18065E-08,8.10001E-08,8.10001E-08,3.58664E-07,3.58664E-07
86,40,47,42,39,-1.21243E-04,2.51583E-19,-1.21453E-04,1.88556E-05,-9.91760E-05,1.75699E-05,-9.89344E-05,2.40325E-19,5.86941E-02,-7.67826E-04,-7.67826E-04,1.32701E-02,1.32701E-02,3.29551E-02,3.29551E-02,2.41252E-07,-2.26137E-08,-2.26137E-08,6.42881E-08,6.42881E-08,4.08016E-07,4.08016E-07
87,8,48,6,7,-1.44660E-04,5.96257E-05,-1.44769E-04,3.92865E-05,-1.65751E-04,3.94874E-05,-1.65574E-04,5.97735E-05,1.00955E-02,4.50920E-03,4.50920E-03,5.01418E-03,5.01418E-03,5.13334E-03,5.13334E-03,3.82318E-08,1.43093E-08,1.43093E-08,1.74353E-08,1.74353E-08,6.35557E-08,6.35557E-08
88,48,46,5,6,-1.44769E-04,3.92865E-05,-1.45213E-04,2.04756E-05,-1.67505E-04,2.04734E-05,-1.65751E-04,3.94874E-05,4.44013E-02,2.60477E-02,2.60477E-02,9.90009E-03,9.90009E-03,2.20065E-02,2.20065E-02,1.72253E-07,1.09893E-07,1.09893E-07,9.93236E-09,9.93236E-09,2.72461E-07,2.72461E-07
89,10,43,49,9,-1.00845E-04,5.60099E-05,-9.98613E-05,3.58598E-05,-1.22242E-04,3.81047E-05,-1.22791E-04,5.86150E-05,5.71863E-02,-9.03188E-04,-9.03188E-04,5.06547E-02,5.06547E-02,1.48078E-02,1.48078E-02,2.19581E-07,-7.66647E-08,-7.66647E-08,2.42503E-07,2.42503E-07,1.83335E-07,1.83335E-07
90,9,49,48,8,-1.22791E-04,5.86150E-05,-1.22242E-04,3.81047E-05,-1.44769E-04,3.92865E-05,-1.44660E-04,5.96257E-05,3.35726E-02,2.51416E-03,2.51416E-03,2.37760E-02,2.37760E-02,1.43211E-02,1.43211E-02,1.30795E-07,-2.19935E-08,-2.19935E-08,1.09627E-07,1.09627E-07,1.77309E-07,1.77309E-07
91,43,42,47,49,-9.98613E-05,3.58598E-05,-9.91760E-05,1.75699E-05,-1.21453E-04,1.88556E-05,-1.22242E-04,3.81047E-05,6.27953E-02,-4.78720E-03,-4.78720E-03,3.56358E-02,3.56358E-02,2.87508E-02,2.87508E-02,2.53543E-07,-7.37044E-08,-7.37044E-08,1.76533E-07,1.76533E-07,3.55962E-07,3.55962E-07
92,49,47,46,48,-1.22242E-04,3.81047E-05,-1.21453E-04,1.88556E-05,-1.45213E-04,2.04756E-05,-1.44769E-04,3.92865E-05,6.43077E-02,5.71684E-03,5.71684E-03,3.11343E-02,3.11343E-02,3.32237E-02,3.32237E-02,2.57545E-07,-1.72545E-08,-1.72545E-08,1.40092E-07,1.40092E-07,4.11341E-07,4.11341E-07
