Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,1.02181E-03,3.68881E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.26460E-05
2,1,3,-1,54,0,0.0,0.0,1.02290E-03,2.43689E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.25869E-05
3,2,4,-1,56,0,0.0,0.0,1.03373E-03,1.26347E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19738E-05
4,3,5,-1,41,0,9.443805149124994,0.0,1.07918E-03,-1.79278E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.78550E-05
5,4,6,-1,46,0,0.0,0.0,1.03373E-03,-1.26347E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19738E-05
6,5,7,-1,48,0,0.0,0.0,1.02290E-03,-2.43689E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.25869E-05
7,6,-1,-1,8,0,0.0,0.0,1.02181E-03,-3.68881E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.26460E-05
8,48,-1,7,9,0,0.0,0.0,8.92742E-04,-3.67969E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.28959E-05
9,49,-1,8,10,0,0.0,0.0,7.57784E-04,-3.61731E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.29850E-05
10,43,-1,9,11,0,0.0,0.0,6.22348E-04,-3.45654E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.28827E-05
11,45,-1,10,12,0,0.0,0.0,4.93417E-04,-3.19659E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19944E-05
12,33,-1,11,13,0,0.0,0.0,3.75086E-04,-2.85915E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.08191E-05
13,69,-1,12,14,0,0.0,0.0,2.69422E-04,-2.44700E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.43528E-06
14,67,-1,13,15,0,0.0,0.0,1.78620E-04,-1.96192E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.91080E-06
15,63,-1,14,16,0,0.0,0.0,1.05037E-04,-1.40633E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.83164E-06
16,65,-1,15,17,0,0.0,0.0,4.91696E-05,-7.80256E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.29713E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,4.91696E-05,7.80256E-05,0.00000E+00,0.00000E+00,0.00000E+00,-5.29713E-06
25,-1,70,26,24,0,0.0,0.0,1.05037E-04,1.40633E-04,0.00000E+00,0.00000E+00,0.00000E+00,-5.83164E-06
26,-1,75,27,25,0,0.0,0.0,1.78620E-04,1.96192E-04,0.00000E+00,0.00000E+00,0.00000E+00,-7.91080E-06
27,-1,74,28,26,0,0.0,0.0,2.69422E-04,2.44700E-04,0.00000E+00,0.00000E+00,0.00000E+00,-9.43528E-06
28,-1,37,29,27,0,0.0,0.0,3.75086E-04,2.85915E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.08191E-05
29,-1,52,30,28,0,0.0,0.0,4.93417E-04,3.19659E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.19944E-05
30,-1,50,31,29,0,0.0,0.0,6.22348E-04,3.45654E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.28827E-05
31,-1,55,32,30,0,0.0,0.0,7.57784E-04,3.61731E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.29850E-05
32,-1,54,1,31,0,0.0,0.0,8.92742E-04,3.67969E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.28959E-05
33,34,12,45,69,0,0.0,0.0,3.65725E-04,-1.81278E-04,0.00000E+00,0.00000E+00,0.00000E+00,-1.06983E-05
34,35,33,44,68,0,0.0,0.0,3.60043E-04,-8.77418E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.03119E-05
35,36,34,38,61,0,0.0,0.0,3.58189E-04,-1.21976E-18,0.00000E+00,0.00000E+00,0.00000E+00,-1.01897E-05
