Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,-7.42395E-04,-2.68010E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.18796E-06
2,1,3,-1,54,0,0.0,0.0,-7.43187E-04,-1.77052E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.14497E-06
3,2,4,-1,56,0,0.0,0.0,-7.51053E-04,-9.17975E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.69954E-06
4,3,5,-1,41,0,-6.861373945531586,0.0,-7.84074E-04,1.30254E-18,0.00000E+00,0.00000E+00,0.00000E+00,1.29725E-05
5,4,6,-1,46,0,0.0,0.0,-7.51053E-04,9.17975E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.69954E-06
6,5,7,-1,48,0,0.0,0.0,-7.43187E-04,1.77052E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.14497E-06
7,6,-1,-1,8,0,0.0,0.0,-7.42395E-04,2.68010E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.18796E-06
8,48,-1,7,9,0,0.0,0.0,-6.48619E-04,2.67347E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.36951E-06
9,49,-1,8,10,0,0.0,0.0,-5.50566E-04,2.62815E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.43423E-06
10,43,-1,9,11,0,0.0,0.0,-4.52165E-04,2.51134E-04,0.00000E+00,0.00000E+00,0.00000E+00,9.35991E-06
11,45,-1,10,12,0,0.0,0.0,-3.58491E-04,2.32247E-04,0.00000E+00,0.00000E+00,0.00000E+00,8.71452E-06
12,33,-1,11,13,0,0.0,0.0,-2.72518E-04,2.07731E-04,0.00000E+00,0.00000E+00,0.00000E+00,7.86057E-06
13,69,-1,12,14,0,0.0,0.0,-1.95748E-04,1.77786E-04,0.00000E+00,0.00000E+00,0.00000E+00,6.85518E-06
14,67,-1,13,15,0,0.0,0.0,-1.29776E-04,1.42543E-04,0.00000E+00,0.00000E+00,0.00000E+00,5.74757E-06
15,63,-1,14,16,0,0.0,0.0,-7.63147E-05,1.02177E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.23697E-06
16,65,-1,15,17,0,0.0,0.0,-3.57241E-05,5.66893E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.84862E-06
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
18,19,17,65,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
19,20,18,64,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
20,21,19,58,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
21,22,20,73,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
22,23,21,72,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
23,-1,22,24,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
24,-1,72,25,23,0,0.0,0.0,-3.57241E-05,-5.66893E-05,0.00000E+00,0.00000E+00,0.00000E+00,3.84862E-06
25,-1,70,26,24,0,0.0,0.0,-7.63147E-05,-1.02177E-04,0.00000E+00,0.00000E+00,0.00000E+00,4.23697E-06
26,-1,75,27,25,0,0.0,0.0,-1.29776E-04,-1.42543E-04,0.00000E+00,0.00000E+00,0.00000E+00,5.74757E-06
