Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,5.19415E-04,-1.30702E-18,5.20683E-04,-9.22434E-05,4.09431E-04,-8.42951E-05,4.07950E-04,-1.15813E-18,3.33848E-01,4.20540E-03,4.20540E-03,-8.21950E-02,-8.21950E-02,-1.86490E-01,-1.86490E-01,1.37110E-06,1.37447E-07,1.37447E-07,-3.97413E-07,-3.97413E-07,-2.30892E-06,-2.30892E-06
79,38,44,34,35,4.07950E-04,-1.15813E-18,4.09431E-04,-8.42951E-05,3.06298E-04,-7.46442E-05,3.04721E-04,-1.04182E-18,3.46965E-01,1.87225E-03,1.87225E-03,-1.00773E-01,-1.00773E-01,-1.91518E-01,-1.91518E-01,1.42156E-06,1.52876E-07,1.52876E-07,-4.82544E-07,-4.82544E-07,-2.37118E-06,-2.37118E-06
80,11,45,43,10,4.19763E-04,-2.71942E-04,4.13374E-04,-1.73321E-04,5.24281E-04,-1.88267E-04,5.29447E-04,-2.94057E-04,4.06260E-01,5.04212E-03,5.04212E-03,-3.87629E-01,-3.87629E-01,-6.53482E-02,-6.53482E-02,1.53901E-06,5.77766E-07,5.77766E-07,-1.85306E-06,-1.85306E-06,-8.09073E-07,-8.09073E-07
81,45,44,42,43,4.13374E-04,-1.73321E-04,4.09431E-04,-8.42951E-05,5.20683E-04,-9.22434E-05,5.24281E-04,-1.88267E-04,3.54911E-01,7.76031E-03,7.76031E-03,-2.38063E-01,-2.38063E-01,-1.49867E-01,-1.49867E-01,1.40891E-06,3.77043E-07,3.77043E-07,-1.14472E-06,-1.14472E-06,-1.85549E-06,-1.85549E-06
82,12,33,45,11,3.19096E-04,-2.43235E-04,3.11132E-04,-1.54218E-04,4.13374E-04,-1.73321E-04,4.19763E-04,-2.71942E-04,5.13270E-01,1.08544E-04,1.08544E-04,-5.01978E-01,-5.01978E-01,-6.16705E-02,-6.16705E-02,1.93015E-06,7.17629E-07,7.17629E-07,-2.39053E-06,-2.39053E-06,-7.63540E-07,-7.63540E-07
83,33,34,44,45,3.11132E-04,-1.54218E-04,3.06298E-04,-7.46442E-05,4.09431E-04,-8.42951E-05,4.13374E-04,-1.73321E-04,3.96915E-01,1.74131E-03,1.74131E-03,-3.01401E-01,-3.01401E-01,-1.48516E-01,-1.48516E-01,1.55298E-06,4.38865E-07,4.38865E-07,-1.43773E-06,-1.43773E-06,-1.83877E-06,-1.83877E-06
84,4,5,46,41,9.18085E-04,-1.52517E-18,8.79419E-04,-1.07487E-04,7.62382E-04,-1.07499E-04,7.55949E-04,-1.37733E-18,5.57532E-01,-3.71862E-01,-3.71862E-01,-1.11435E-01,-1.11435E-01,-2.59218E-01,-2.59218E-01,2.14198E-06,-1.61158E-06,-1.61158E-06,5.90509E-10,5.90509E-10,-3.20936E-06,-3.20936E-06
85,41,46,47,40,7.55949E-04,-1.37733E-18,7.62382E-04,-1.07499E-04,6.37642E-04,-9.89937E-05,6.36536E-04,-1.32084E-18,2.86431E-01,5.75570E-02,5.75570E-02,-7.20371E-02,-7.20371E-02,-1.52090E-01,-1.52090E-01,1.18183E-06,3.76991E-07,3.76991E-07,-4.25258E-07,-4.25258E-07,-1.88302E-06,-1.88302E-06
86,40,47,42,39,6.36536E-04,-1.32084E-18,6.37642E-04,-9.89937E-05,5.20683E-04,-9.22434E-05,5.19415E-04,-1.30702E-18,3.08150E-01,4.03116E-03,4.03116E-03,-6.96695E-02,-6.96695E-02,-1.73018E-01,-1.73018E-01,1.26660E-06,1.18724E-07,1.18724E-07,-3.37518E-07,-3.37518E-07,-2.14212E-06,-2.14212E-06
87,8,48,6,7,7.59478E-04,-3.13041E-04,7.60053E-04,-2.06258E-04,8.70210E-04,-2.07313E-04,8.69282E-04,-3.13817E-04,5.30022E-02,-2.36737E-02,-2.36737E-02,-2.63249E-02,-2.63249E-02,-2.69505E-02,-2.69505E-02,2.00720E-07,-7.51250E-08,-7.51250E-08,-9.15372E-08,-9.15372E-08,-3.33673E-07,-3.33673E-07
